event_id,event_date,event_time_precision,platform,platform_region,poll_region_alignment,diffusion_class,character_cn,character_jp,event_type,community_layer,poll_round_before,poll_round_after,phase,source_url,source_title_or_excerpt,metric_snapshot,observed_at,interpretation,causal_limit,verification_status
x_r11_renko_surprise,2015-06-01,second,X,JP,jp,domestic_platform_poll_alignment,宇佐见莲子,宇佐見 蓮子,result_interpretation,discussion,10,11,post_result,https://x.com/kochi13/status/605216258016092160,正邪布都小伞上涨尚可理解但莲子发生了什么,,2026-08-23,同一帖子把莲子作为无法解释的上涨案例保留了不确定性,惊讶不等于发现了传播机制,verified_logged_in
x_r11_seija_parsee_pair,2015-06-02,second,X,JP,jp,domestic_platform_poll_alignment,鬼人正邪,鬼人 正邪,meme_pairing,comment,10,11,post_result,https://x.com/levelerf/status/605689454615920640,下克上后的正邪与嫉妒妖怪帕露西同列27是否形成新组合,,2026-08-23,一设中的下克上与同名次偶合被快速组合成赛后新梗,结果后生成的组合梗不能反向解释投票期票数,verified_logged_in
x_r11_parsee_seija_pair,2015-06-02,second,X,JP,jp,domestic_platform_poll_alignment,水桥帕露西,水橋 パルスィ,meme_pairing,comment,10,11,post_result,https://x.com/levelerf/status/605689454615920640,下克上后的正邪与嫉妒妖怪帕露西同列27是否形成新组合,,2026-08-23,同名次成为跨角色二创关系的触发器,回复样本不代表组合梗已广泛扩散,verified_logged_in
x_r11_overview,2015-06-02,second,X,JP,jp,domestic_platform_poll_alignment,鬼人正邪,鬼人 正邪,result_visualization,discussion,10,11,post_result,https://x.com/chair_RYUCA/status/605422650312257536,第11回个人看点图,"679转发;486赞",2026-08-23,结果可视化本身形成高互动的二次传播入口,当前看到的是帖子累计互动不是投票规模,verified_logged_in
x_r12_easya_last_day,2016-01-16,second,X,JP,jp,domestic_platform_poll_alignment,易者,易者,support_or_mobilization,discussion,11,12,during_vote,https://x.com/augur_bot/status/688013210868408320,投票末日提醒并以易经太极图包装易者,,2026-08-23,角色一设和视觉符号被直接用于投票末日动员,无法识别看帖者是否投票或改变选择,verified_logged_in
x_r12_easya_followup,2016-01-16,second,X,JP,jp,domestic_platform_poll_alignment,易者,易者,support_or_mobilization,discussion,11,12,post_vote,https://x.com/augur_bot/status/688303381190807552,投票后继续以易者身份梗自我包装,,2026-08-23,连续角色扮演说明易者热度不只是一条结果帖,无法把账号连续发帖换算成受众人数,verified_logged_in
x_r12_easya_result,2016-01-21,second,X,JP,jp,domestic_platform_poll_alignment,易者,易者,result_meme,discussion,11,12,post_result,https://x.com/augur_bot/status/690144683004203008,赛后以幸运数字解释易者名次,,2026-08-23,名次数字被吸收为易者占卜梗的一部分,结果梗不能解释结果产生过程,verified_logged_in
x_akyuu_death_2016,2016-08-13,second,X,JP,jp,domestic_platform_poll_alignment,稗田阿求,稗田 阿求,canon_extrapolation,discussion,12,13,long_term_background,https://x.com/Tea_tya_rairen/status/764279935317848064,若幻想乡不是海螺小姐时空阿求不久会死,,2026-08-23,直接证明现实年表死亡梗至少在2016年已公开出现,单帖不足以测量当年普及率,verified_logged_in
x_r13_shingyoku_rise,2017-02-01,second,X,JP,jp,domestic_platform_poll_alignment,神玉,神玉,result_interpretation,discussion,12,13,post_result,https://x.com/nickel495/status/826800952749338625,神玉上升11位且为旧作角色中升幅最大,,2026-08-23,小众旧作角色的变化在第13回已被专门统计,升幅最大按该帖口径仍应与官方全榜复核,verified_logged_in
x_akyuu_death_2017,2017-12-13,second,X,JP,jp,domestic_platform_poll_alignment,稗田阿求,稗田 阿求,canon_extrapolation,discussion,13,14,long_term_background,https://x.com/sidou_nanami/status/940958989092773888,再出约五作阿求就会死,,2026-08-23,现实时间与作品数量被继续用于阿求寿命推算,推算不是官方剧情时间,verified_logged_in
x_r14_doremy_support,2018-01-20,second,X,JP,jp,domestic_platform_poll_alignment,哆来咪·苏伊特,ドレミー・スイート,support_art,derivative,13,14,during_vote,https://x.com/mottle_silver/status/954708420074004481,第14回末日滑入式哆来咪支援图,,2026-08-23,投票末日有明确角色应援且随后名次70到27,时间相邻不等于支援图造成43名跃升,verified_logged_in
x_r14_doremy_rise,2018-01-23,second,X,JP,jp,domestic_platform_poll_alignment,哆来咪·苏伊特,ドレミー・スイート,result_interpretation,discussion,13,14,post_result,https://x.com/_yutoy/status/955735768076464128,哆来咪上涨很厉害,,2026-08-23,赛后社区清楚注意到哆来咪大幅上涨,感叹帖不提供机制识别,verified_logged_in
x_akyuu_death_2018,2018-05-20,second,X,JP,jp,domestic_platform_poll_alignment,稗田阿求,稗田 阿求,canon_extrapolation,derivative,14,15,long_term_background,https://x.com/sidou_nanami/status/998146829056274433,若阿求死时灵梦也会相当大年纪并据此构思二创,,2026-08-23,寿命梗已经被用于二创世界观构思,二创设想不是官方年表,verified_logged_in
x_akyuu_death_2020,2020-03-20,second,X,JP,jp,domestic_platform_poll_alignment,稗田阿求,稗田 阿求,canon_extrapolation,discussion,15,16,long_term_background,https://x.com/908kureha/status/1240952902438416384,比一百天后死的鳄鱼更在意相识十多年的阿求是否会死,,2026-08-23,阿求梗与当时流行死亡叙事发生跨作品关联,单帖互动与覆盖未记录,verified_logged_in
x_akyuu_death_2021,2021-09-10,second,X,JP,jp,domestic_platform_poll_alignment,稗田阿求,稗田 阿求,canon_extrapolation,discussion,16,17,long_term_background,https://x.com/touhouhenkenbot/status/1436144263763410959,2024年前后阿求是否死亡会成为世界观转折点,"44转发;355赞",2026-08-23,高于前述单帖的可见互动证明2024节点在投票前数年已被公开讨论,互动量不能视为支持票,verified_logged_in
bili_mystia_game_release,2021-10-07,day,Bilibili,CN,cn,domestic_platform_poll_alignment,米斯蒂娅·萝蕾拉,ミスティア・ローレライ,game_exposure,derivative,9,10,inter_round,https://www.bilibili.com/video/BV1Nf4y177YE/,东方夜雀食堂正式版测评,"10.1万播放累计快照",2026-08-23,中文平台长期游戏曝光与国区米斯蒂娅第9到10回75到37同期,不能由测评播放量单独归因名次变化,verified_public
bili_yuma_dlc1,2022-04-28,day,Bilibili,CN,cn,domestic_platform_poll_alignment,饕餮尤魔,饕餮尤魔,game_exposure,derivative,9,10,pre_vote,https://www.bilibili.com/video/BV1SS4y1c7cr/,东方夜雀食堂DLC1尤魔Boss战,"2.6万播放累计快照",2026-08-23,尤魔在第10回前已通过中文同人游戏视频获得曝光,首次入榜和持续曝光并存无法构造无曝光反事实,verified_public
x_r18_parsee_38,2022-09-27,second,X,JP,jp,domestic_platform_poll_alignment,水桥帕露西,水橋 パルスィ,result_celebration,derivative,17,18,post_result,https://x.com/rotonoturugi_1/status/1574773819096846337,第18回帕露西38名庆祝,,2026-08-23,中腰部角色也有明确名次庆祝作品,庆祝帖不能说明未发帖支持者的规模,verified_logged_in
bili_kyoko_dlc3,2022-11-18,day,Bilibili,CN,cn,domestic_platform_poll_alignment,幽谷响子,幽谷 響子,game_exposure,derivative,10,11,inter_round,https://www.bilibili.com/video/BV18d4y1b7vw/,东方夜雀食堂DLC3开启视频,"6.2万播放累计快照",2026-08-23,响子获得明确DLC曝光但国区10到11回94到93几乎不变,是曝光并不自动转化为名次跃升的反例,verified_public
x_akyuu_death_2023,2023-08-11,second,X,JP,jp,domestic_platform_poll_alignment,稗田阿求,稗田 阿求,canon_extrapolation,discussion,18,19,long_term_background,https://x.com/aqpaca/status/1689935324343144448,吐槽太多人以阿求今年会死为前提,,2026-08-23,反向吐槽说明该说法在2023年已成为可识别前提,仍不能由单帖判断多数粉丝真实信念,verified_logged_in
x_akyuu_countdown_2024,2024-07-25,second,X,JP,jp,domestic_platform_poll_alignment,稗田阿求,稗田 阿求,countdown_meme,discussion,19,20,pre_vote,https://x.com/3d_Kazu/status/1816399892388155709,距离阿求命日不到两周,,2026-08-23,2024节点在投票前进入倒计时阶段且承接多年旧梗,精确命日是社区推算不是官方剧情,verified_logged_in
x_akyuu_counterview_2024,2024-07-28,second,X,JP,jp,domestic_platform_poll_alignment,稗田阿求,稗田 阿求,counter_interpretation,discussion,19,20,pre_vote,https://x.com/takomokota/status/1817510696353169478,只是考据党讨论粉丝总体并不真认为她会死,,2026-08-23,保留同一社区内部对梗普及度和认真程度的反方意见,单条反方帖也不能代表总体,verified_logged_in
bili_akyuu_funeral,2024-08-06,second,Bilibili,CN,jp,cross_region_observed,稗田阿求,稗田 阿求,meme_video,derivative,19,20,pre_vote,https://www.bilibili.com/video/BV1sSareYEQj/,稗田阿求于2024年8月7日安详逝世,"24.2万播放;6141赞;2345收藏;863分享",2026-08-23,中文平台在日区第20回前集中传播长期寿命梗,当前累计量和时间相邻均不能证明日区新增票数,verified_public
bili_akyuu_result,2024-08-24,second,Bilibili,CN,jp,cross_region_observed,稗田阿求,稗田 阿求,result_meme,derivative,19,20,post_result,https://www.bilibili.com/video/BV1EpWZe2EvU/,阿求排名上升47名真相令人落泪,"1.5万播放累计快照",2026-08-23,日区结果被中文视频迅速吸收进既有寿命梗,发布时间晚于投票结束不能反向解释投票,verified_public
bili_yuma_long_exposure,2024-01-25,day,Bilibili,CN,cn,domestic_platform_poll_alignment,饕餮尤魔,饕餮尤魔,result_visibility,discussion,10,11,post_result,https://www.bilibili.com/video/BV1Xc411e7n2/,第11回中文角色部门TOP191速报,"2.6万播放;823弹幕显示值",2026-08-23,尤魔10到11回76到48与游戏二创持续曝光同期且结果视频提供再传播入口,结果视频不能解释投票前增长,verified_public
bili_kyoko_no_jump,2024-01-25,day,Bilibili,CN,cn,domestic_platform_poll_alignment,幽谷响子,幽谷 響子,result_visibility,discussion,10,11,post_result,https://www.bilibili.com/video/BV1Xc411e7n2/,第11回中文角色部门TOP191速报,"2.6万播放;823弹幕显示值",2026-08-23,响子DLC3曝光后仍为94到93名构成有曝光无跃升反例,榜单结果不能测量游戏玩家与投票者重叠,verified_public
bili_toyohime_top10_meme,2025-08-15,second,Bilibili,CN,jp,cross_region_observed,绵月丰姬,綿月 豊姫,support_meme,derivative,20,21,pre_vote,https://www.bilibili.com/video/BV1gKbxzjEZb/,幻想丰姬人气进入前十,"4.7万播放;13弹幕;1470赞;318收藏;125分享",2026-08-23,中文平台在日区第21回开始日前夜出现丰姬投票梗且她随后119到73,评论尚未完整读取且不能把视频视为46名上涨的原因,verified_public_comments_pending
x_r21_larva_rule,2025-08-30,second,X,JP,jp,domestic_platform_poll_alignment,莉格露·奈特巴格,リグル・ナイトバグ,rule_interpretation,discussion,20,21,post_result,https://x.com/Velno_31/status/1961657279889248518,预测旧权重对莉格露名次影响,,2026-08-23,规则变化如何影响长尾角色被即时讨论,社区估算需与官方复算区分,verified_logged_in
x_r21_rule_counterfactual,2025-08-30,second,X,JP,jp,domestic_platform_poll_alignment,古明地恋,古明地 こいし,rule_counterfactual,discussion,20,21,post_result,https://x.com/iTsumiH2O/status/1961752329176379426,按旧2比1计分重算第21回,,2026-08-23,说明冠军标题对计分权重敏感且回复将其与琪露诺九梗联系,社区帖与官方复算口径必须分开,verified_logged_in
x_r21_ryurei_top100,2025-08-30,second,X,JP,jp,domestic_platform_poll_alignment,宫出口瑞灵,宮出口瑞霊,result_celebration,derivative,20,21,post_result,https://x.com/KKalfa55611932/status/1961789699737133318,瑞灵首次Top100并继续为第22回应援,,2026-08-23,瑞灵118到91且官方支援数8到138与持续应援同时可见,支援数和帖子不能相加或当成票数,verified_logged_in
x_r21_louise_longtail,2025-08-31,second,X,JP,jp,domestic_platform_poll_alignment,露易兹,ルイズ,long_tail_statistics,discussion,20,21,post_result,https://x.com/kuroyuMKW_0906/status/1961817971673952643,第21回长尾露易兹神玉幽玄魔眼等分层统计,,2026-08-23,结果讨论明确覆盖旧作长尾而非只看Top100,分层统计的候选定义仍需与官方表逐项核对,verified_logged_in
x_r21_shingyoku_longtail,2025-08-31,second,X,JP,jp,domestic_platform_poll_alignment,神玉,神玉,long_tail_statistics,discussion,20,21,post_result,https://x.com/kuroyuMKW_0906/status/1961817971673952643,第21回长尾露易兹神玉幽玄魔眼等分层统计,,2026-08-23,神玉在早期第13回与第21回长尾讨论中均被点名,帖子不能填补不存在的逐年社媒全量,verified_logged_in
x_r21_mimaeye_longtail,2025-08-31,second,X,JP,jp,domestic_platform_poll_alignment,幽幻魔眼,ユウゲンマガン,long_tail_statistics,discussion,20,21,post_result,https://x.com/kuroyuMKW_0906/status/1961817971673952643,第21回长尾露易兹神玉幽玄魔眼等分层统计,,2026-08-23,无台词旧作角色也进入赛后分层旁证,长尾微小票差对同票和候选口径敏感,verified_logged_in
x_r21_kikuri_bottom,2025-08-31,second,X,JP,jp,domestic_platform_poll_alignment,菊理,キクリ,long_tail_statistics,discussion,20,21,post_result,https://x.com/kuroyuMKW_0906/status/1961811821289160881,最低位有名Boss菊理讨论,,2026-08-23,最低位角色也能成为统计讨论对象避免幸存者偏差,单帖不代表菊理拥有稳定创作生态,verified_logged_in
bili_koishi_result_f1,2025-08-30,second,Bilibili,CN,jp,cross_region_observed,古明地恋,古明地 こいし,result_meme,derivative,20,21,post_result,https://www.bilibili.com/video/BV1XihezyEVF/,恋恋重新夺得世界第一的F1模板,,2026-08-23,日区结果在中文平台数小时内被模板化,发布时间在结果后不能说明投票期动员,verified_public
bili_koishi_ten_year,2025-08-30,second,Bilibili,CN,jp,cross_region_observed,古明地恋,古明地 こいし,result_meme,derivative,20,21,post_result,https://www.bilibili.com/video/BV1pkhqzMEwo/,十年后恋恋回到第一,,2026-08-23,长期名次历史被压缩成易传播的十年回归叙事,结果后叙事不是夺冠的唯一原因,verified_public
x_r21_fairy_merge_watch,2025-08-30,day,X,JP,jp,domestic_platform_poll_alignment,妖精（女仆妖精、向日葵妖精等）,妖精（メイド妖精・ひまわり妖精 他）,candidate_definition_watch,discussion,20,21,post_result,https://x.com/iTsumiH2O/status/1961752329176379426,一押率与规则讨论牵出合并候选项异常变化,,2026-08-23,妖精合并项171到101需优先核查候选定义和合并口径,没有足够证据前不解释为真实人气暴涨,needs_candidate_definition_audit
bili_mima_return_meme,2025-01-22,day,Bilibili,CN,,unassigned_context,魅魔,魅魔,meme_video,derivative,,,inter_round,https://www.bilibili.com/video/BV1gafhYbEpv/,东方梗指南之魅魔回归,"3.7万播放;24弹幕累计快照",2026-08-23,旧作角色回归梗在第20—21回之间获得中文视频化表达；与第21回年轻/新参问卷结构并置观察,题名命中和当前累计互动不能证明投票动员或回归造成名次变化,verified_public
bili_mima_rank49,2026-05-07,day,Bilibili,CN,jp,cross_region_observed,魅魔,魅魔,result_visibility,discussion,20,21,post_result,https://www.bilibili.com/video/BV1XhdFB4EFw/,东方人物志东方人气排行第49名魅魔,"5456播放;2弹幕累计快照",2026-08-23,旧作角色第21回排名被中文角色志再传播,视频发布时间晚于第21回结果不能解释结果本身,verified_public
bili_daiyou_lecture,2020-02-12,day,Bilibili,CN,,unassigned_context,大妖精,大妖精,character_lecture,derivative,,,inter_round,https://www.bilibili.com/video/BV1g7411V7sR/,道中大酱大妖精浅谈角色外貌与行为,"4.6万播放;660弹幕累计快照",2026-08-23,低一设角色通过人物讲解和道中Boss符号获得中文可见性,播放和弹幕不能替代角色投票或官方支持数,verified_public
bili_koakuma_lecture,2020-02-22,day,Bilibili,CN,,unassigned_context,小恶魔,小悪魔,character_lecture,derivative,,,inter_round,https://www.bilibili.com/video/BV1Q7411w71h/,尽职的恶魔小恶魔浅谈东方人物角色外貌与行为,"4.0万播放;630弹幕累计快照",2026-08-23,有限一设被人物讲解和红魔馆二创语汇补全,官方设定稀少与二创热度不能混写为同一指标,verified_public
bili_renko_lecture,2024-02-08,day,Bilibili,CN,,unassigned_context,宇佐见莲子,宇佐見蓮子,character_lecture,derivative,,,inter_round,https://www.bilibili.com/video/BV11Z421z7du/,现世的天才宇佐见莲子浅谈东方人物角色外貌与行为,"5.1万播放;416弹幕累计快照",2026-08-23,秘封角色讲解与长期线下/同人社群盘并存,不能由视频互动推出第21回角色票,verified_public
bili_renko_secret_club,2021-09-24,day,Bilibili,CN,,unassigned_context,宇佐见莲子,宇佐見蓮子,group_lecture,derivative,,,inter_round,https://www.bilibili.com/video/BV1Uv41137JL/,为什么我们喜欢秘封组,"5.2万播放;259弹幕累计快照",2026-08-23,秘封整体关系与音乐/同人生态是莲子梅莉的慢变量旁证,组合内容不能拆成单角色支持量,verified_public
bili_merry_lecture,2024-01-31,day,Bilibili,CN,,unassigned_context,玛艾露贝莉·赫恩,マエリベリー・ハーン,character_lecture,derivative,,,inter_round,https://www.bilibili.com/video/BV1uB421r7FJ/,窥幻的少女梅莉浅谈东方人物角色外貌与行为,"3.9万播放;332弹幕累计快照",2026-08-23,秘封角色讲解承接既有关系型社群,不能由当前播放量反推某届票数,verified_public
bili_yomotsu_setting_lecture,2023-08-17,day,Bilibili,CN,,unassigned_context,豫母都日狭美,豫母都日狭美,character_lecture,derivative,,,inter_round,https://www.bilibili.com/video/BV1Rj411B7Q5/,东方兽王园新角色日狭美角色设计与设定详解,"3.1万播放;977弹幕累计快照",2026-08-23,新作角色的官方设定在中文社区有集中讲解节点,新角色曝光与新人票不能等同,verified_public
bili_yomotsu_rank52,2023-10-02,day,Bilibili,CN,jp,cross_region_observed,豫母都日狭美,豫母都日狭美,result_visibility,discussion,18,19,post_result,https://www.bilibili.com/video/BV1Jh4y167Qu/,得知日狭美人气投票位居52名,"820播放累计快照",2026-08-23,明确把日狭美名次作为中文视频主题，可与第19回结果做时间配对,结果反应晚于投票不能证明视频造成名次,verified_public
bili_maki_five_boss,2024-06-08,day,Bilibili,CN,,unassigned_context,杖刀偶磨弓,杖刀偶磨弓,meme_video,derivative,,,inter_round,https://www.bilibili.com/video/BV1jZ421g7Qs/,最忠诚5面杖刀偶磨弓LNNNN,"1.3万播放;2弹幕累计快照",2026-08-23,五面Boss和LNN梗把阵营设定转为可传播笑点,梗视频不是投票期应援且不能代表角色支持盘,verified_public
bili_tatsu_r22_support,2026-08-21,day,Bilibili,CN,jp,cross_region_observed,饭纲丸龙,飯綱丸龍,support_video,derivative,21,22,during_vote,https://www.bilibili.com/video/BV1K5by6CEht/,饭纲丸大人需要你的一票,"5266播放;65弹幕累计快照",2026-08-23,第22回进行中出现明确投票动员语义；仅作为进行中供给记录,第22回无完整结果，不能并入历史名次或与往届票数相加,verified_public
tieba_yamashan_r22_support,2026-08-22,day,Tieba,CN,jp,cross_region_observed,驹草山如,駒草山如,support_thread,discussion,21,22,during_vote,https://tieba.baidu.com/p/10962352809,第22回东方人气投票应援楼&抽奖,"回复1;其他可见数字6/1（页面未标注字段）",2026-08-23,中文贴吧在投票进行期以应援抽奖和角色音乐/醉蝶华二创记忆动员山如；评论把低人气、道中曲和漫画出场并置,第22回未结束；贴吧回复与投票票数无可比换算；其他数字字段未标注,verified_public
tieba_satori_r22_support,2026-08-22,day,Tieba,CN,jp,cross_region_observed,古明地觉,古明地さとり,support_thread,discussion,21,22,during_vote,https://tieba.baidu.com/p/10964667162,请给古明地觉投下宝贵的票🤝,"回复6;其他可见数字27/3（页面未标注字段）",2026-08-23,标题是直接投票应援；正文用第6—21回连续梦碎称呼制造长期失败梗，说明历史名次记忆进入本届动员,第22回未结束；连续梗是叙事材料而非因果证据；部分楼层需登录,verified_public
tieba_vote_translation_r22_tool,2026-08-22,day,Tieba,CN,jp,cross_region_observed,全角色,,translation_tool,discussion,21,22,during_vote,https://tieba.baidu.com/p/10963038584,【工具】东方人气投票中文翻译脚本插件,"回复10;其他可见数字27/9（页面未标注字段）",2026-08-23,工具帖把日区投票的姓名/曲名/作品名翻译成中文，评论出现看不懂日文、片假名困扰和投票仍可猜出的分层体验,第22回未结束；工具采用thbwiki译名不等于官方投票口径；回复受登录展示限制,verified_public
tieba_koishi_r22_discussion,2026-08-22,day,Tieba,CN,jp,cross_region_observed,古明地恋,古明地こいし,discussion_thread,discussion,21,22,during_vote,https://tieba.baidu.com/p/10962283358,东方Project，2026人气投票已经开始,"回复22;其他可见数字7/2（页面未标注字段）",2026-08-23,300英雄吧把第21回恋恋第一与游戏出场率倒数并置，形成跨作品玩家对人气与使用率脱钩的讨论；首层评论又批评觉恋技能组,第22回未结束；300英雄玩家不是投票总体；评论串其余楼层需贴吧登录,verified_public
tieba_rise_prediction_mokou,2026-08-23,day,Tieba,CN,jp,cross_region_observed,藤原妹红,藤原 妹紅,prediction_thread,discussion,21,22,during_vote,https://tieba.baidu.com/p/10966525817,大胆预测名次飙升：尼古丁猫与妹红叼烟二创,"帖子回复9;妹红楼层显示5",2026-08-24,贴吧把投票期外部流行梗和妹红既有叼烟二创联系为上涨预测,第22回未结束且预测不能证明票数变化,verified_logged_in
tieba_rise_prediction_ushizaki,2026-08-23,day,Tieba,CN,jp,cross_region_observed,牛崎润美,牛崎 潤美,prediction_thread,discussion,21,22,during_vote,https://tieba.baidu.com/p/10966525817,大胆预测名次飙升：投票前牛来让河边老牛重回视野,"帖子回复9;润美楼层显示9",2026-08-24,小众角色被明确放入投票前新内容曝光与中文再发现的预测链,帖中牛来所指作品仍需单独核实且第22回无结果,verified_logged_in
tieba_kagerou_r22_support,2026-08-23,day,Tieba,CN,jp,cross_region_observed,今泉影狼,今泉 影狼,support_thread,discussion,21,22,during_vote,https://tieba.baidu.com/p/10965823106,投票今泉影狼喵我什么都不会做的,"回复1;其他可见数字1（页面未标注字段）",2026-08-24,猫化语尾和无行动自嘲构成极简角色应援,正文图像不作文本推断且第22回未结束,verified_logged_in
tieba_hifuu_r22_support,2026-08-23,day,Tieba,CN,jp,cross_region_observed,宇佐见莲子,宇佐見 蓮子,support_thread,derivative,21,22,during_vote,https://tieba.baidu.com/p/10964871856,喝醉后命令把票投给秘封并让莲子梅莉到你家,"回复1;其他可见数字15/1（页面未标注字段）",2026-08-24,啤酒付丧神能力与秘封到访反转梗把组合关系直接接入应援,组合应援不能拆成莲子单角色支持量且第22回未结束,verified_logged_in
tieba_hifuu_r22_support_merry,2026-08-23,day,Tieba,CN,jp,cross_region_observed,玛艾露贝莉·赫恩,マエリベリー・ハーン,support_thread,derivative,21,22,during_vote,https://tieba.baidu.com/p/10964871856,喝醉后命令把票投给秘封并让莲子梅莉到你家,"回复1;其他可见数字15/1（页面未标注字段）",2026-08-24,同一组合应援同时提及梅莉并由回复还有这好事完成轻喜剧反转,同帖双角色记录用于覆盖审计但作品/回复数不可重复计为独立热度,verified_logged_in
jmpd_r4_marisa,2005-12-28,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,雾雨魔理沙,霧雨 魔理沙,result_interpretation,analysis,4,5,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-358.html,第4回结果分析：魔理沙连续强势（含EX规则可视作三连冠）,个人赛后观察；无互动量快照,2026-08-24,作者把魔理沙的连续高位作为第4回最醒目的结果叙事,单篇博客为事后解释且未控制规则与投票者构成,verified_public_web
jmpd_r4_reimu,2005-12-28,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,博丽灵梦,博麗 霊夢,result_interpretation,analysis,4,5,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-358.html,第4回结果分析：灵梦大幅上升,个人赛后观察；无互动量快照,2026-08-24,作者明确指出灵梦排名改善但未给出可检验的单一原因,单篇博客为事后解释且未控制规则与投票者构成,verified_public_web
jmpd_r4_yuyuko,2005-12-28,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,西行寺幽幽子,西行寺 幽々子,result_interpretation,analysis,4,5,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-358.html,第4回结果分析：幽幽子第4位，作者认为可能进入稳定区间,个人赛后观察；无互动量快照,2026-08-24,这是对名次所处区间的描述性解释，不是稳定粉丝盘的测量,单篇博客为事后解释且未控制规则与投票者构成,verified_public_web
