sample_id,platform,source_url,content_date,observed_at,sample_type,character_cn,poll_region_alignment,related_round,round_status,text_original,text_zh_or_note,engagement_snapshot,analytic_code,interpretation,limits,verification_status,normalization_note
tieba_r21_curated_patchouli,Tieba,https://tieba.baidu.com/p/9996937304,2025-08-31,2026-08-24,comment,帕秋莉·诺蕾姬,jp,21,complete,不动的大图书馆动了一下,把官方称号改写为名次微动的双关。,第19楼；帖子显示总回复535,canon_title_rank_pun,一设称号为小幅名次变化提供了易传播表达。,笑点说明解释方式，不等于变化原因。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r21_curated_rumia,Tieba,https://tieba.baidu.com/p/9996937304,2025-08-31,2026-08-24,comment,露米娅,jp,21,complete,不是怎么没人理我小⑩小⑩多可爱啊！,以小⑩昵称呼应琪露诺⑨梗。,第20楼；帖子显示总回复535,numeric_derivative_nickname,数字昵称把角色与既有社群符号体系连接。,昵称热度不能直接换算为支持率。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r21_curated_tenshi,Tieba,https://tieba.baidu.com/p/9996937304,2025-09-01,2026-08-24,comment,比那名居天子,jp,21,complete,天子国门守不住了，格斗作人气第一被223摘了,把格斗作角色内部竞争转化为‘国门’叙事。,第22楼；帖子显示总回复535,subseries_competition_meme,同作品类型的比较框架参与赛后评价。,223指代需结合原帖语境；不能据此估算转票。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r21_curated_kogasa,Tieba,https://tieba.baidu.com/p/9996937304,2025-09-01,2026-08-24,comment,多多良小伞,jp,21,complete,我说小伞王朝了,以‘王朝’夸张表达稳定高位。,第23楼；帖子显示总回复535,dynasty_meme,夸张称谓强化角色上升或稳定的群体记忆。,赛后短评不能证明组织化投票。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r21_curated_suwako,Tieba,https://tieba.baidu.com/p/9996937304,2025-09-01,2026-08-24,comment,洩矢诹访子,jp,21,complete,仔细一看青蛙在ex面里排的相当靠前,用青蛙昵称并按EX面角色重组比较。,第24楼；帖子显示总回复535,stage_cohort_comparison,除总榜外，玩家也按关卡身份建立相对排名。,EX面比较不是官方独立榜。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r21_curated_eiki,Tieba,https://tieba.baidu.com/p/9996937304,2025-08-31,2026-08-24,comment,四季映姬·夜摩仙那度,jp,21,complete,二十四季映姬,把第24名与角色名‘四季’组合成固定笑点。,第25楼；帖子显示总回复535,rank_name_pun,名次与角色名偶合能迅速形成赛后梗。,偶合梗发生于结果公布后。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r21_curated_kaguya,Tieba,https://tieba.baidu.com/p/9996937304,2025-08-31,2026-08-24,comment,蓬莱山辉夜,jp,21,complete,辉夜可爱 直接前进5,把喜爱表达与名次前进并置。,第26楼；帖子显示总回复535,affinity_and_rank_reaction,赛后支持者用简短情感判断解释变化。,没有投票行为链，不能把该回复当新增5名的原因。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r21_curated_junko,Tieba,https://tieba.baidu.com/p/9996937304,2025-08-31,2026-08-24,comment,纯狐,jp,21,complete,在“普遍不人气”的“10后”角色里，纯狐显得是那么特别。,把纯狐放在2010年后角色群体中作代际例外。,第27楼；帖子显示总回复535,generation_cohort_exception,社区按登场年代构建角色人气分层。,‘普遍不人气’是评论者概括，须以全角色分布核验。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r21_curated_yuuka,Tieba,https://tieba.baidu.com/p/9996937304,2025-09-03,2026-08-24,comment,风见幽香,jp,21,complete,幽香掉了,直接注意到名次下降。,第28楼；帖子显示总回复535,rank_decline_reaction,可作为结果被社区感知的最低限度旁证。,缺少原因论述，不能外推。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r21_curated_eirin,Tieba,https://tieba.baidu.com/p/9996937304,2025-08-31,2026-08-24,comment,八意永琳,jp,21,complete,师匠发力了,以师匠昵称概括永琳的名次改善。,第30楼；帖子显示总回复535,nickname_rank_reaction,社区昵称承担趋势叙事的压缩表达。,不能说明具体驱动。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r21_curated_suika,Tieba,https://tieba.baidu.com/p/9996937304,2025-09-01,2026-08-24,comment,伊吹萃香,jp,21,complete,怎么感觉兽王园里西瓜登场没让名气起来一些啊,把《兽王园》登场视为理应带来上升的曝光，并因结果不符而质疑。,第31楼；帖子显示总回复535,canon_appearance_counterexample,官方登场并不自动转化为名次改善，是重要反例。,评论仅表达预期差，仍需核对作品发布时间与历届数据。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r21_curated_kokoro,Tieba,https://tieba.baidu.com/p/9996937304,2025-08-31,2026-08-24,comment,秦心,jp,21,complete,有我一票,明确的个人投票自述。,第21楼；帖子显示总回复535,self_reported_vote,可确认至少一名回复者自述投票，但不能扩大为总体。,自述不可验证且不能与官方票数相加。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r21_curated_mike,Tieba,https://tieba.baidu.com/p/9996937304,2025-09-01,2026-08-24,comment,豪德寺三花,jp,21,complete,前进三 干得好 猫猫,以猫猫昵称庆祝前进三名。,第125楼；帖子显示总回复535,long_tail_rank_reaction,长尾角色同样存在名次变化的即时社群旁证。,单条回复不能衡量角色社群规模。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r21_curated_biten,Tieba,https://tieba.baidu.com/p/9996937304,2025-09-02,2026-08-24,comment,孙美天,jp,21,complete,直下26重天,用夸张成语化表达下降26名。,第142楼；帖子显示总回复535,large_drop_wordplay,新作角色的大幅回落被迅速转写为笑点。,赛后笑点不能解释回落原因。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r21_curated_fortune_teller,Tieba,https://tieba.baidu.com/p/9996937304,2025-09-12,2026-08-24,comment,易者,jp,21,complete,传奇生存大师:易者，牢易,以原作死亡与‘生存大师’反讽、牢易昵称构成小众角色梗。,第147楼；帖子显示总回复535,canon_death_irony_meme,高度可识别的一设事件支撑长尾角色的二创记忆。,梗的存在不等于票数增长。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r21_curated_mizuchi,Tieba,https://tieba.baidu.com/p/9996937304,2025-08-31,2026-08-24,comment,宫出口瑞灵,jp,21,complete,生前的巫女身份和先代巫女组cp上大分,把出版物设定与先代巫女配对二创作为上升解释。,第93楼；帖子显示总回复535,canon_trait_pairing_hypothesis,一设身份可成为关系型二创入口。,属于赛后归因；配对并非官方投票变量。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r21_curated_yorihime,Tieba,https://tieba.baidu.com/p/9996937304,2025-08-31,2026-08-24,comment,绵月依姬,jp,21,complete,自身本命率不算低，也跟姐姐喝了一口汤,同时用本命率和姐妹关系解释依姬名次。,第97楼；帖子显示总回复535,primary_support_and_sibling_diffusion,评论者尝试区分核心支持与丰姬带动。,本命率需回到官方问卷核验；‘喝汤’只是社区假说。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r16_ex_comment_attention,Tieba,https://tieba.baidu.com/p/7203763193,2021-01-24,2026-08-24,comment,全角色,jp,16,complete,国内貌似没什么关注度,发帖者直接感知中文社区对第16回EX关注有限。,帖子显示总回复18,cross_region_attention_perception,可用于记录当时的参与体感与跨区传播摩擦。,主观体感不能当成检索量或参与人数。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r16_ex_comment_rank_attitude,Tieba,https://tieba.baidu.com/p/7203763193,2021-01-24,2026-08-24,comment,全角色,jp,16,complete,排名不影响本命在心中的位置，过高反而招黑,明确表达不把排名等同于角色价值，并担忧高名次反噬。,帖子显示总回复18,anti_rank_instrumental_attitude,投票参与者内部存在弱化排名意义的态度。,不能推断这种态度在中文社区中的比例。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r18_meiling_support_text,Tieba,https://tieba.baidu.com/p/8024657664,2022-09-17,2026-08-24,comment,红美铃,jp,18,complete,给帅气可爱友善的天然大姐姐红师傅投一票谢谢喵,将帅气、可爱、友善与天然大姐姐等角色印象接入明确应援。,帖子显示总回复3,character_image_mobilization,中文社区昵称和性格印象被直接用作投票动员材料。,应援文本不能证明实际转化。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r18_meiling_reply,Tieba,https://tieba.baidu.com/p/8024657664,2022-09-17,2026-08-24,comment,红美铃,jp,18,complete,美铃！美铃！,用重复呼喊完成低门槛应援参与。,帖子显示总回复3,chant_support,简短口号反映应援氛围。,低信息量回复不能衡量支持规模。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r15_daiyousei_union,Tieba,https://tieba.baidu.com/p/6030791757,2019-02-09,2026-08-24,comment,大妖精,jp,15,complete,全世界的大酱厨联合起来,以大酱厨自称和政治口号改写形成角色应援。,第2楼；帖子显示总回复8,fandom_self_label_mobilization,角色厨自称和复读口号提供低门槛动员。,多次复读来自同一作者，不能按人数计算。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r15_daiyousei_cold,Tieba,https://tieba.baidu.com/p/6030791757,2019-03-10,2026-08-24,comment,大妖精,jp,15,complete,好冷清,直接表达角色吧内应援讨论稀疏的体感。,第7楼；帖子显示总回复8,low_attention_perception,小众角色社区会显式感知动员不足。,体感不等于平台总量或票数。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r15_daiyousei_few_fans,Tieba,https://tieba.baidu.com/p/6030791757,2019-05-13,2026-08-24,comment,大妖精,jp,15,complete,大酱厨太少啦,用角色厨数量不足解释低互动。,第8楼；帖子显示总回复8,small_fandom_self_assessment,社群规模自我评价可辅助理解长尾角色动员条件。,不能据此估算真实支持者人数。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r14_aya_yukari,Tieba,https://tieba.baidu.com/p/5517613326,2018-01-16,2026-08-24,comment,射命丸文;八云紫,jp,14,complete,文文超过八云紫了 这是好事,把第二日Twitter晒票统计中的相对位置读作角色竞争。,第3楼；帖子显示总回复177,contemporaneous_social_rank_reaction,投票期中文社区实时解释X/Twitter晒票趋势。,晒票样本有自选择偏差，不是最终官方票。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r14_shion_rocket,Tieba,https://tieba.baidu.com/p/5517613326,2018-01-16,2026-08-24,comment,依神紫苑,jp,14,complete,紫苑上了火箭,用‘上火箭’概括新角色在晒票统计中的高位。,第5楼；帖子显示总回复177,new_character_rocket_meme,新作曝光与角色视觉印象被迅速压缩为趋势梗。,仍是投票期晒票反应，不能当最终名次或因果量。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r14_shinmyoumaru_cohort,Tieba,https://tieba.baidu.com/p/5517613326,2018-01-16,2026-08-24,comment,鬼人正邪;少名针妙丸;今泉影狼;赤蛮奇,jp,14,complete,鬼人正邪:23 少名针妙丸:64 同辉针城的今泉影狼:48……我还有什么好说的,按《辉针城》同作角色横向比较并表达针妙丸失落。,第7楼；帖子显示总回复177,same_work_cohort_comparison,玩家会按初登场作品建立相对人气预期。,帖子数字来自第二日Twitter晒票图语境，不是官方最终名次。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r14_eiki_26,Tieba,https://tieba.baidu.com/p/5517613326,2018-01-16,2026-08-24,comment,四季映姬·夜摩仙那度,jp,14,complete,四季大人正在向26名靠近……,把晒票位置与角色长期名次印象连接。,第24楼；帖子显示总回复177,contemporaneous_rank_expectation,投票期趋势图会即时生成名次预期与应援回复。,不是最终结果；后续楼中楼主要是角色梗互动。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r14_new_work_counterexample,Tieba,https://tieba.baidu.com/p/5517613326,2018-01-16,2026-08-24,comment,多角色,jp,14,complete,天空璋你可是新作耶，怕不是连神灵庙都比不过,质疑新作角色整体没有因作品新鲜度自动取得优势。,第34楼；帖子显示总回复177,new_work_exposure_counterexample,官方新作曝光与角色热度并非机械正相关。,群体评价不能拆成单角色票。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r14_narumi_recency,Tieba,https://tieba.baidu.com/p/5517613326,2018-01-16,2026-08-24,comment,矢田寺成美,jp,14,complete,要是在tkz发售几周之后就搞投票成美想必也会像紫苑这样。,明确提出投票与作品发售间隔会影响新角色优势。,第34楼楼中楼；帖子显示总回复177,release_vote_timing_hypothesis,社群当时已把发布时间差视作趋势解释变量。,反事实假说不能证明实际可提升多少。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r14_sisters_gap,Tieba,https://tieba.baidu.com/p/5517613326,2018-01-16,2026-08-24,comment,依神紫苑;依神女苑,jp,14,complete,紫苑的人气可真是高呐……心疼一波女苑，这次不再是妹妹人气比姐姐高了,以姐妹关系和东方常见姐妹人气比较解释新角色差距。,第37楼；帖子显示总回复177,sibling_comparison_meme,一设关系为社群比较提供固定框架。,晒票阶段差距不等于最终结果，姐妹比较也不是独立统计部门。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r14_kanako_sixboss,Tieba,https://tieba.baidu.com/p/5517613326,2018-01-16,2026-08-24,comment,八坂神奈子,jp,14,complete,神奈子呢再怎么说也是6面boss啊,以官方关卡身份对较低趋势位置表示不解。,第22楼；帖子显示总回复177,canon_role_expectation,一设中的Boss位阶会形成社群人气预期。,关卡身份不是票数决定变量。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r13_id_barrier,Tieba,https://tieba.baidu.com/p/4939766415,2017-01-14,2026-08-24,comment,绵月丰姬,jp,13,complete,投票前需要申请ID，填email，然后收email领ID,角色吧在应援同时解释日区投票ID申请流程。,第2楼；帖子显示总回复3,accessibility_bridge,中文社区为跨区参与提供语言与流程基础设施。,流程说明不等于实际完成投票。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r13_deadline,Tieba,https://tieba.baidu.com/p/4939766415,2017-01-21,2026-08-24,comment,绵月丰姬,jp,13,complete,今天是最后一天 想投票的请加紧步伐～！,截止日催投直接体现时间性动员。,第4楼；帖子显示总回复3,deadline_mobilization,应援供给集中到投票窗口末端。,不能据此估算新增票。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r12_reimu_comeback,Tieba,https://tieba.baidu.com/p/4315468390,2016-01-22,2026-08-24,comment,博丽灵梦,jp,12,complete,灵梦再次反杀,结果公布后用竞技化语言解释灵梦夺回领先。,第4楼；帖子显示总回复21,post_result_comeback_meme,冠军结果被快速转成‘反杀’叙事。,赛后评论不能作为投票前原因。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r12_marisa_surprise,Tieba,https://tieba.baidu.com/p/4315468390,2016-01-22,2026-08-24,comment,雾雨魔理沙,jp,12,complete,魔理沙意料之外……,表达结果与个人预期不符。,第8楼；帖子显示总回复21,post_result_expectation_gap,早期中文泛ACG社区已有对头部角色位置的稳定预期。,单条惊讶不能说明总体预期。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r12_department_translation,Tieba,https://tieba.baidu.com/p/4315468390,2016-01-22,2026-08-24,comment,全角色,jp,12,complete,虽然能够理解……但是还是被“人妖部门”吓了一跳……,对日区角色部门中文译名产生即时陌生感。,第9楼；帖子显示总回复21,translation_friction,译名选择会影响投票传播语境和理解体验。,不涉及单个角色支持方向。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_cn_r11_kogasa_vote,Tieba,https://tieba.baidu.com/p/8830991760,2023-12-29,2026-08-24,comment,多多良小伞,cn,11,complete,快去touhou.vote给多多良小伞投上一票本命票吧～,在角色吧内给出国区网址并明确请求本命票。,帖子显示总回复18,domestic_character_bar_mobilization,中文平台直接对齐国区投票，是本地动员的清晰样本。,应援请求不等于实际投票转化。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r7_honmei_comment_1,Tieba,https://tieba.baidu.com/p/715859916,2010-02-20,2026-08-24,comment,古明地恋,jp,7,complete,给恋心跪了,第7回本命率统计帖首层可见回复, ,result_reaction,结果统计帖的即时情绪反应聚焦恋恋,单条回复不能代表整体支持盘或投票转化,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_cn_r4_self_report_comment_1,Tieba,https://tieba.baidu.com/p/4074518508,2015-10-10,2026-08-24,comment,琪露诺;露米娅;大妖精;米斯蒂娅·萝蕾拉;莉格露·奈特巴格;博丽灵梦;射命丸文;露娜切露德,cn,4,complete,打算投⑨五人组、红白、文文和露娜,第4回国区晒票帖首层投票计划；后续回复把五人组解释为⑨、⑩、大酱、夜雀、虫子,fan_vote_intent,自晒投票意向与角色组合/昵称是样本旁证,自晒样本不是国区总票数或总体偏好,verified_pc_web,楼层文本为PC网页可见样本；帖子总回复1174另计。,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_cn_r5_result_comment_1,Tieba,https://tieba.baidu.com/p/4914375824,2016-12-26,2026-08-24,comment,射命丸文;琪露诺,cn,5,complete,我站文⑨,第5回国区结果帖可见楼层立场表达,fan_identity,结果后短句显示文文与⑨的组合称呼,单条楼层不能代表角色总体支持或票数,verified_pc_web,楼层文本为PC网页可见样本；帖子总回复34另计。,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_jp_r12_schedule_comment_1,Tieba,https://tieba.baidu.com/p/4230536742,2015-12-24,2026-08-24,comment,博丽灵梦,jp,12,complete,灵梦的机会来了,第12回投票开始公告的可见回复, ,result_expectation,投票开始前把灵梦与夺冠机会联系起来,单条回复不代表整体预测或投票行为,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_jp_r12_schedule_comment_2,Tieba,https://tieba.baidu.com/p/4230536742,2015-12-24,2026-08-24,comment,博丽灵梦,jp,12,complete,一拳巫女世界第一夺回（最终话）,第12回投票开始公告的可见回复, ,result_expectation,赛前以“夺回世界第一”包装灵梦应援与连载叙事,单条回复不代表整体预测或投票转化,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
