sample_id,platform,source_url,content_date,observed_at,sample_type,character_cn,poll_region_alignment,related_round,round_status,text_original,text_zh_or_note,engagement_snapshot,analytic_code,interpretation,limits,verification_status
x_seija_parsee_reply,X,https://x.com/levelerf/status/605689454615920640,2015-06-02,2026-08-23,reply,鬼人正邪;水桥帕露西,jp,11,complete,下克上後の正邪と嫉妬妖怪パルスィが同率27位。新しい組み合わせになるのか,下克上正邪与嫉妒妖怪帕露西同列27是否形成新组合,,post_result_pairing,回复把一设关键词和同名次连接为关系梗,回复可见不等于组合已形成广泛二创,verified_logged_in
x_r21_rule_reply,X,https://x.com/iTsumiH2O/status/1961752329176379426,2025-08-30,2026-08-23,reply,古明地恋;琪露诺,jp,21,complete,主な影響はこいしの十年ぶり一位とチルノの⑨阻止,主要影响是恋恋十年后第一与琪露诺⑨阻止,,rule_sensitive_narrative,回复指出计分规则会改变最醒目的结果梗,这是社区观点且需以官方数据复算,verified_logged_in
x_r22_support_reply_ryurei,X,https://x.com/toho_vote/status/2085743650496197033,2026-08-21,2026-08-23,reply,宫出口瑞灵,jp,22,ongoing,瑞霊1位を目指す,目标是瑞灵第一,,ongoing_support,第22回投票期可见明确小众角色目标,进行中回复不能与完整历史结果混合,verified_logged_in
x_r22_support_reply_alice,X,https://x.com/toho_vote/status/2085743650496197033,2026-08-21,2026-08-23,reply,爱丽丝·玛格特洛依德,jp,22,ongoing,アリスTOP10入りを,希望爱丽丝进入Top10,,ongoing_support,投票期目标包含头部边缘角色的名次诉求,无法知道发帖者是否代表更大群体,verified_logged_in
bili_toyohime_comment_canon,Bilibili,https://www.bilibili.com/video/BV1gKbxzjEZb/,2025-08-15,2026-08-23,comment,绵月丰姬,jp,21,complete,这对姐妹的形象本来是，zun想体现的，月之都为数不多的和蔼，善良的那一派,评论以官方温和派语境反驳单一二创形象,544赞,canon_reframing,一设中的温和派被评论者主动调用,单条高赞评论不能代表全体受众或票数,verified_visible
bili_toyohime_comment_renko,Bilibili,https://www.bilibili.com/video/BV1gKbxzjEZb/,2025-08-15,2026-08-23,comment,绵月丰姬,jp,21,complete,没看过恋跳，问下二创里丰姬是什么形象,评论请求解释二创形象,98赞,derivative_discovery,显示二创作品是角色理解入口之一,提问者不代表整体认知结构,verified_visible
bili_toyohime_reply_crazy,Bilibili,https://www.bilibili.com/video/BV1gKbxzjEZb/,2025-08-15,2026-08-23,reply,绵月丰姬,jp,21,complete,恋跳啊，那么就是一个彻头彻底的颠佬（,UP回复将恋跳形象概括为颠佬,127赞,derivative_label,评论链同时把作品名与OOC标签绑定,UP回复不是官方设定也不是群体比例,verified_visible
bili_toyohime_comment_ooc,Bilibili,https://www.bilibili.com/video/BV1gKbxzjEZb/,2025-08-15,2026-08-23,comment,绵月丰姬,jp,21,complete,恋跳里依姬丰姬的温和派人设直接炸掉了，而且恋跳本身在ooc之后的刻画也比较矛盾，导致粉丝眼中的依姬丰姬人设很混乱,评论明确指出一设与二创形象冲突并存,157赞,ooc_conflict,二创可能制造混乱而非单向增益或损害,社区归因不能写成恋跳导致名次变化,verified_visible
bili_toyohime_comment_counterexample,Bilibili,https://www.bilibili.com/video/BV1gKbxzjEZb/,2025-08-15,2026-08-23,comment,绵月丰姬,jp,21,complete,还好，我先看的恋跳后看的儚月抄，反而对绵月姐妹好感上升了,保留先二创后官方文本反向增益的反例,21赞,positive_reframing,同一作品链对不同受众可能方向相反,单条评论不足以估计比例,verified_visible
bili_toyohime_comment_lowpop,Bilibili,https://www.bilibili.com/video/BV1gKbxzjEZb/,2025-08-15,2026-08-23,comment,绵月丰姬,jp,21,complete,不行啊，我已经有恋跳后遗症了，我觉得绵月姐妹现在的低人气有很大一部分是因为恋跳,评论提出低人气社区归因,4赞,community_attribution,只能作为争议假说与其他评论对照,不能当因果结论或投票解释,verified_visible
bili_toyohime_comment_works,Bilibili,https://www.bilibili.com/video/BV1gKbxzjEZb/,2025-08-15,2026-08-23,comment,绵月丰姬,jp,21,complete,话说绵月姐妹有什么优质二创吗……已知绵月无双、恋跳、濡湿月都、东方催眠,评论列出二创作品链并询问优质作品,16赞,derivative_catalogue,作品链可用于后续检索而不是支持率,列举作品不等于观看人数或投票行为,verified_visible
bili_toyohime_danmaku_canon,Bilibili,https://www.bilibili.com/video/BV1gKbxzjEZb/,2025-08-15,2026-08-23,danmaku,绵月丰姬,jp,21,complete,并非幻想,弹幕把视频的前十幻想反转为参与式肯定,,participatory_meme,弹幕把梗与角色愿望结合,弹幕时间与作者身份不可见,verified_visible
bili_toyohime_danmaku_ability,Bilibili,https://www.bilibili.com/video/BV1gKbxzjEZb/,2025-08-15,2026-08-23,danmaku,绵月丰姬,jp,21,complete,使幻想成真程度的能力,弹幕把一设能力改写成投票愿望梗,能力_reframing,二创式能力解释不能代替官方能力条目,verified_visible
bili_toyohime_danmaku_boss,Bilibili,https://www.bilibili.com/video/BV1gKbxzjEZb/,2025-08-15,2026-08-23,danmaku,绵月丰姬,jp,21,complete,醒醒，你该做锦上京五面boss啦,把投票前十愿望与新作五面Boss期待连接,role_expansion,愿望弹幕不是官方企划信息,verified_visible
bili_toyohime_danmaku_fan,Bilibili,https://www.bilibili.com/video/BV1gKbxzjEZb/,2025-08-15,2026-08-23,danmaku,绵月丰姬,jp,21,complete,丰姬厨欢喜,短句表达角色厨的情绪认同,fan_identification,无法由短句估计厨群规模,verified_visible
nix_r9_comment_momiji_reason,Japanese blog,https://nix-in-desertis.blog.jp/archives/52053112.html,2012-02-29,2026-08-24,comment_paraphrase,犬走椛,jp,9,complete,（评论要旨）椛の急上昇の理由は不明,评论区对椛名次急升表示原因不明；保留为转述而非逐字引文,,community_uncertainty,评论样本显示社区也承认无法解释,仅为页面评论要旨且不是评论总体,verified_public_web_paraphrase
nix_r9_comment_kasen_pixiv,Japanese blog,https://nix-in-desertis.blog.jp/archives/52053112.html,2012-02-29,2026-08-24,comment_reply_paraphrase,茨木华扇,jp,9,complete,（评论/作者回复要旨）華扇上昇は意外、Pixivの効果も大きい,评论与作者回复把Pixiv创作传播列为华扇跃升候选解释；保留为转述而非逐字引文,,community_attribution,说明二创传播进入早期赛后解释，但并非因果证明,评论与作者回复选择性强且缺历年Pixiv增量,verified_public_web_paraphrase
