character_cn,character_jp,round21_rank,community_tags_cn,tag_status,source_path,source_scope,analysis_use
射命丸文,射命丸 文,11,记者、天狗、翅膀、短发、尖耳朵、元气、帽子、枫叶团扇、相机、木屐、领结、泡泡袖,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
西行寺幽幽子,西行寺 幽々子,12,吃货、御姐、扇子、亡灵、长裙、天然呆、大胃王、腹黑、荷叶边帽子、大小姐、统帅、装嫩、巨乳、短发、卷发,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
东风谷早苗,東風谷 早苗,13,巫女、天然呆、认真、长直、青蛙发夹、蛇形发饰、束鬓、不对称鬓发、长鬓角、分离袖子、露腋、御币、巨乳、及膝袜、露脐装、吐槽役,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
爱丽丝·玛格特洛依德,アリス・マーガトロイド,14,人偶、孤僻、高冷、魔导书、魔法少女、金发碧眼、短发、发箍、萝莉、泡泡袖、披肩、好斗、靴子、长筒靴、有袜无鞋、连衣裙、痴女,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
铃仙·优昙华院·因幡,鈴仙・優曇華院・イナバ,15,兔娘、兔耳、长直、总受、制服、领带、泡泡袖,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
八云紫,八雲 紫,16,御姐、伞、折扇、隙间、隔空取物、巨乳、长卷发、束鬓、多马尾、蝴蝶结、连衣裙、荷叶边帽子、最强、睡神、腹黑、BBA、永远的十七岁（装嫩）,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
红美铃,紅 美鈴,17,门番、类旗袍、解放帽、长直、麻花辫、武术家、领结、睡神、素足履、巨乳,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
帕秋莉·诺蕾姬,パチュリー・ノーレッジ,18,魔法少女、宅女、学霸、毒舌、月亮发饰、魔导书、姬发式、团子头、丝带、束鬓、可萝可御、大蝴蝶结、畏光、半睁眼、慵懒、睡帽、长袍、低音炮、体力差、病弱、痴女、隐藏巨乳,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
露米娅,ルーミア,19,萝莉、笨蛋、短发、丝带、吃人、吃货、绰号、口头禅、失忆,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
秦心,秦 こころ,20,扑克脸、面具、长直、天然呆、单纯、演员、灯笼裙、扇子、领结,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
比那名居天子,比那名居 天子,21,熊孩子、元气、长直、大小姐、M属性、桃子饰品的宽檐帽、刀剑、女神、围裙、长靴、泡泡袖、领结,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
多多良小伞,多々良 小傘,22,吐舌头、异色瞳、万年萝莉、吓人、唐伞、木屐、短发,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
洩矢诹访子,洩矢 諏訪子,23,万年萝莉、腹黑、青蛙帽、青蛙、女神、贫乳、永远的十七岁、萝莉老太婆、中长发、过膝袜、绝对领域、长鬓角、束鬓、水袖、白色过膝袜、丝带、人妻,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
四季映姬·夜摩仙那度,四季映姫・ヤマザナドゥ,24,阎王、万年萝莉、说教、认真、制服、短发、不对称鬓发、傲娇、贫乳,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
蓬莱山辉夜,蓬莱山 輝夜,25,公主、黑长直、姬发式、有蕾丝的和服、蓬莱人、大和抚子、NEET、腹黑、领结、隐者,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
纯狐,純狐,26,御姐、未亡人、母亲、病切、类清服、尾气、长发、卷发、病娇、巨乳,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
风见幽香,風見 幽香,27,御姐、女王、S属性、阳伞、高岭之花、毒舌、卷发、木能力、马甲、领巾、BBA、永远的十七岁,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
八意永琳,八意 永琳,28,御姐、医生、护士、麻花辫、天才、蓬莱人、弓、教师、温柔、巨乳、BBA、永远的十七岁、隐者、护士服和道士服融合服饰、泡泡袖,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
伊吹萃香,伊吹 萃香,29,鬼、长直、姬发式、双角、锁链、大蝴蝶结、灯笼裤、丝带、幼儿体型、万年萝莉、巨大娘、酒豪、酒器、怪力女、单纯、西瓜,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
犬走椛,犬走 椛,30,伪郎、短发、千里眼、兽耳、兽尾、日本刀、盾牌、和服、露脐装,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
八云蓝,八雲 藍,31,狐娘、尾巴、兽耳、学霸、助手、御姐、母爱、萝莉控、巨乳、荷叶边帽子、短发、脚环、短靴、有袜无鞋,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
灵乌路空,霊烏路 空,32,笨蛋、健忘、中二、天然呆、天然萌、翅膀、长直、青梅竹马、星空披风、单马尾、绿色丝带、大蝴蝶结、及膝袜、鸟妖、三足乌、核弹娘,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
赫卡提亚·拉碧斯拉祖利,ヘカーティア・ラピスラズリ,33,女神、御姐、露肩装、超短裙、裸足、星球、锁链、最强、靴子、巨乳,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
依神紫苑,依神紫苑,34,姐姐、贪财、贫穷、不幸、不悯、长发、帽T、大蝴蝶结、迷你裙、布偶、手环、裸足,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
鬼人正邪,鬼人 正邪,35,反向思考、搞事、吐舌头、挑染、水手服、蝴蝶结、角、凉鞋、裸足、短发、伪郎、反重力裙、傲娇、手环,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
丰聪耳神子,豊聡耳 神子,36,耳罩、披风、中二病、女王三段笑、道士、露腋、刀剑、手环、脚环、耳状发、笏板、跨性别者,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
水桥帕露西,水橋 パルスィ,37,嫉妒、金发碧眼、短发、尖耳朵、围巾、袖套、泡泡袜、玛丽珍鞋、诅咒、波斯人、傲娇、病娇,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
宇佐见莲子,宇佐見 蓮子,38,,not_available_in_legacy_snapshot,,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
键山雏,鍵山 雛,39,旋转动作、温柔、丝带、哥特萝莉装、女神、另类发型、大蝴蝶结、丝带、泡泡袖、长靴、中长发、颜艺,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
物部布都,物部 布都,40,元气、熊孩子、道士、伪郎、单马尾、乌帽子、腹黑、笨蛋、妈妈、摔碟,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
稀神探女,稀神 サグメ,41,无口、翅膀、片翼、短发、短裙、领结、皮鞋、片假名名字、毒奶,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
饭纲丸龙,飯綱丸 龍,42,天狗、组织领导人、长发、连衣裙、披风、木屐、四分之三袜、护肩、三角架,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
摩多罗隐岐奈,摩多羅隠岐奈,43,女神、长发、卷发、狩衣、幞头、鼓、尾气、轮椅、搞事,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
河城荷取,河城 にとり,44,萝莉、背包、双马尾、工程师、技师、商人、拜金、好奇、鸭舌帽、绿帽子、靴子、雨鞋、钥匙、水能力,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
茨木华扇,茨木 華扇,45,双丸子头、绷带、御姐、说教、温柔、认真、吃货、中长发、类旗袍服饰、胸花、泡泡袖、断肢、锁链、角、露腋、巨乳、食人,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
火焰猫燐,火焔猫 燐,46,双马尾、麻花辫、猫娘、猫耳、猫尾、变身、元气、单纯、助手、青梅竹马、颜艺、吐舌、大蝴蝶结、丝带、玛丽珍鞋,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
米斯蒂娅·萝蕾拉,ミスティア・ローレライ,47,歌姬、老板娘、厨师、翅膀、长指甲、兽耳、可食用、健忘、笨蛋、及膝袜、绝对领域、翅膀型耳朵,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
饕餮尤魔,饕餮 尤魔,48,黑道组长、角、吃货、锯齿牙、幼儿体型、短发、卷发、连衣裙、大蝴蝶结、尖耳朵、耳环、露肩装、裸足、巨大叉勺、长方形瞳孔、白发红眼,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
魅魔,魅魔,49,,not_available_in_legacy_snapshot,,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
圣白莲,聖 白蓮,50,僧侣、哥特萝莉装、温柔、姐姐、紧身衣、披风、佛珠、斗笠、黑丝、巨乳、皮靴、BBA、摩托车、超人,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
橙,橙,51,猫娘、猫耳、猫尾、萝莉、长指甲、短发、领结、连衣裙、颜艺、灯笼袖、荷叶边帽子、耳环、玛丽珍鞋、有袜无鞋,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
上白泽慧音,上白沢 慧音,52,老师、变身、秀才帽、兽人、双角、长发、连衣裙、大蝴蝶结、头槌、巨乳、御姐、泡泡袖,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
大妖精,大妖精,53,妖精、翅膀、侧单马尾、发带、连衣裙、万年萝莉、路人、人妻,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
封兽鵺,封獣 ぬえ,54,异形翅膀、三叉戟、小蛇、短发、连衣裙、领结、过膝袜、绝对领域、黑丝、玛丽珍鞋、中二,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
玛艾露贝莉·赫恩,マエリベリー・ハーン,55,,not_available_in_legacy_snapshot,,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
天弓千亦,天弓 千亦,56,女神、商人、披风、短发、妹妹头、发箍、连衣裙、靴子、尾气,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
小恶魔,小悪魔,57,,not_available_in_legacy_snapshot,,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
娜兹玲,ナズーリン,58,萝莉、兽耳、尾巴、短发、寻宝者、探宝棒、项链、披肩,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
哆来咪·苏伊特,ドレミー・スイート,59,睡帽、尾巴、书、猫嘴、连衣裙、披肩、长发、短靴、有袜无鞋、嘲讽脸,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
道神驯子,道神 馴子,60,,not_available_in_legacy_snapshot,,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
神绮,神綺,61,,not_available_in_legacy_snapshot,,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
埴安神袿姬,埴安神 袿姫,62,头巾、女神、工匠、围裙、项链、尾气,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
莉格露·奈特巴格,リグル・ナイトバグ,63,正莉、短发、翅膀/披风、触角、灯笼裤、笨蛋、伪郎、萤火虫、蟑螂,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
因幡天为（因幡帝）,因幡 てゐ,64,,not_available_in_legacy_snapshot,,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
赤蛮奇,赤蛮奇,65,孤僻、中二、披风、短发、大蝴蝶结、皮靴、多头、掉头,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
菅牧典,菅牧 典,66,狐娘、兽耳、尾巴、腹黑、搞事、连衫裤、足袋、有袜无鞋、刘海尾、试管、狐狸手势、屑女人、畜生,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
村纱水蜜,村紗 水蜜,67,水手服、船长、领巾、幽灵、及膝袜、皮靴,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
霍青娥,霍 青娥,68,仙人、腹黑、中国人、人妻、环形辫、飘带、簪、泡泡袖,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
八坂神奈子,八坂 神奈子,69,女神、风神、山神、御姐、BBA、短发、卷发、树叶发饰、木屐、稻草绳、御柱、泡泡袖、妈妈,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
克劳恩皮丝,クラウンピース,70,国旗装、小丑帽、翅膀、长发、万年萝莉、火炬、妖精、鬼畜、条纹连裤袜,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
莉莉霍瓦特（莉莉白）,リリーホワイト,71,,not_available_in_legacy_snapshot,,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
本居小铃,本居 小鈴,72,,not_available_in_legacy_snapshot,,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
绵月丰姬,綿月 豊姫,73,,not_available_in_legacy_snapshot,,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
依神女苑,依神女苑,74,妹妹、双螺旋、毒舌、拜金、败家、抢钱、墨镜、礼帽、蝴蝶结、扇子、包包、吊坠、耳环、手环、戒指、靴子,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
小野塚小町,小野塚 小町,75,偷懒、巨乳、死神、镰刀、御姐、双马尾、摆渡人、木屐、白丝、泡泡袖,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
永江衣玖,永江 衣玖,76,指天舞、钻头、飘带、御姐、电能力、缎带、宽檐帽、领结,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
姬海棠果,姫海棠 はたて,77,记者、天狗、翅膀、双马尾、尖耳朵、家里蹲、帽子、相机、手机、木屐、及膝袜、领带、泡泡袖,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
二岩猯藏,二ッ岩 マミゾウ,78,妖兽、眼镜、尾巴、兽耳、猫嘴、酒器、酒豪、木屐、烟斗、抽烟、亲分、BBA、绿帽子、铃铛、连衣裙、特殊第一人称、和服、围巾、墨镜、西装、片假名名字、变身,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
