platform,round,component,component_label,status,observed_records,expected_records,record_unit,status_basis,evidence,note
JP,7,questionnaire_results,问卷结果,available_crawled,227,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 227 行、约 8 个题目键。
JP,7,questionnaire_trends,问卷趋势,not_applicable,0,0,series,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 静态アンケート页没有与 CN 现代接口按小时趋势表同构的组件。
JP,7,entity_questionnaire_details,实体问卷明细,official_not_offered,0,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_questionnaire_long.csv,逐实体问卷明细 0 行；官网组件状态由 legacy normalizer 明确给出。
JP,7,associations_covote,关联/共投,official_not_offered,0,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_association_long.csv,逐实体关联明细 0 行；与实体 numeric profile 同源。
JP,7,condition_rankings,条件榜,not_applicable,0,0,condition_files,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 逐实体关联不等同于 CN 现代站的任意问卷选项条件榜。
JP,7,open_text,开放文本,available_crawled,24,24,official_comment_pages,explicit_metadata,metadata/jp_official_legacy_coverage.json,官方 questionnaire_comment 页面已抓 24 页；当前矩阵只确认页面覆盖。
JP,8,main_rankings,主榜,available_crawled,2,2,ranking_categories,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/source_entity_metrics.csv,"官网已抓排名类别：character, music；抓取失败记录 0 条。"
JP,8,questionnaire_definitions,问卷定义,available_crawled,8,,questions,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 261 行、约 8 个题目键。
JP,8,questionnaire_results,问卷结果,available_crawled,261,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 261 行、约 8 个题目键。
JP,8,questionnaire_trends,问卷趋势,not_applicable,0,0,series,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 静态アンケート页没有与 CN 现代接口按小时趋势表同构的组件。
JP,8,entity_questionnaire_details,实体问卷明细,official_not_offered,0,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_questionnaire_long.csv,逐实体问卷明细 0 行；官网组件状态由 legacy normalizer 明确给出。
JP,8,associations_covote,关联/共投,official_not_offered,0,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_association_long.csv,逐实体关联明细 0 行；与实体 numeric profile 同源。
JP,8,condition_rankings,条件榜,not_applicable,0,0,condition_files,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 逐实体关联不等同于 CN 现代站的任意问卷选项条件榜。
JP,8,open_text,开放文本,available_crawled,16,16,official_comment_pages,explicit_metadata,metadata/jp_official_legacy_coverage.json,官方 questionnaire_comment 页面已抓 16 页；当前矩阵只确认页面覆盖。
JP,9,main_rankings,主榜,available_crawled,2,2,ranking_categories,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/source_entity_metrics.csv,"官网已抓排名类别：character, music；抓取失败记录 0 条。"
JP,9,questionnaire_definitions,问卷定义,available_crawled,9,,questions,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 529 行、约 9 个题目键。
JP,9,questionnaire_results,问卷结果,available_crawled,529,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 529 行、约 9 个题目键。
JP,9,questionnaire_trends,问卷趋势,not_applicable,0,0,series,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 静态アンケート页没有与 CN 现代接口按小时趋势表同构的组件。
JP,9,entity_questionnaire_details,实体问卷明细,official_not_offered,0,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_questionnaire_long.csv,逐实体问卷明细 0 行；官网组件状态由 legacy normalizer 明确给出。
JP,9,associations_covote,关联/共投,official_not_offered,0,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_association_long.csv,逐实体关联明细 0 行；与实体 numeric profile 同源。
JP,9,condition_rankings,条件榜,not_applicable,0,0,condition_files,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 逐实体关联不等同于 CN 现代站的任意问卷选项条件榜。
JP,9,open_text,开放文本,available_crawled,26,26,official_comment_pages,explicit_metadata,metadata/jp_official_legacy_coverage.json,官方 questionnaire_comment 页面已抓 26 页；当前矩阵只确认页面覆盖。
JP,10,main_rankings,主榜,available_crawled,2,2,ranking_categories,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/source_entity_metrics.csv,"官网已抓排名类别：character, music；抓取失败记录 0 条。"
JP,10,questionnaire_definitions,问卷定义,available_crawled,7,,questions,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 216 行、约 7 个题目键。
JP,10,questionnaire_results,问卷结果,available_crawled,216,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 216 行、约 7 个题目键。
JP,10,questionnaire_trends,问卷趋势,not_applicable,0,0,series,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 静态アンケート页没有与 CN 现代接口按小时趋势表同构的组件。
JP,10,entity_questionnaire_details,实体问卷明细,official_not_offered,0,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_questionnaire_long.csv,逐实体问卷明细 0 行；官网组件状态由 legacy normalizer 明确给出。
JP,10,associations_covote,关联/共投,official_not_offered,0,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_association_long.csv,逐实体关联明细 0 行；与实体 numeric profile 同源。
JP,10,condition_rankings,条件榜,not_applicable,0,0,condition_files,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 逐实体关联不等同于 CN 现代站的任意问卷选项条件榜。
JP,10,open_text,开放文本,available_crawled,22,22,official_comment_pages,explicit_metadata,metadata/jp_official_legacy_coverage.json,官方 questionnaire_comment 页面已抓 22 页；当前矩阵只确认页面覆盖。
JP,11,main_rankings,主榜,available_crawled,630,2,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/source_entity_metrics.csv,"官网已抓排名类别：character, music；抓取失败记录 0 条。"
JP,11,questionnaire_definitions,问卷定义,available_crawled,11,,questions,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 617 行、约 11 个题目键。
JP,11,questionnaire_results,问卷结果,available_crawled,617,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 617 行、约 11 个题目键。
JP,11,questionnaire_trends,问卷趋势,not_applicable,0,0,series,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 静态アンケート页没有与 CN 现代接口按小时趋势表同构的组件。
JP,11,entity_questionnaire_details,实体问卷明细,available_crawled,10240,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_questionnaire_long.csv,逐实体问卷明细 10240 行；官网组件状态由 legacy normalizer 明确给出。
JP,11,associations_covote,关联/共投,available_crawled,2849,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_association_long.csv,逐实体关联明细 2849 行；与实体 numeric profile 同源。
JP,11,condition_rankings,条件榜,not_applicable,0,0,condition_files,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 逐实体关联不等同于 CN 现代站的任意问卷选项条件榜。
JP,11,open_text,开放文本,pending,0,,official_comment_pages,incomplete_or_unverified,metadata/jp_official_legacy_coverage.json,现有覆盖元数据没有明确证明开放文本已提供或已完整抓取，保守记 pending。
JP,12,main_rankings,主榜,available_crawled,685,3,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/source_entity_metrics.csv,"官网已抓排名类别：character, music, work；抓取失败记录 0 条。"
JP,12,questionnaire_definitions,问卷定义,available_crawled,12,,questions,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 614 行、约 12 个题目键。
JP,12,questionnaire_results,问卷结果,available_crawled,614,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 614 行、约 12 个题目键。
JP,12,questionnaire_trends,问卷趋势,not_applicable,0,0,series,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 静态アンケート页没有与 CN 现代接口按小时趋势表同构的组件。
JP,12,entity_questionnaire_details,实体问卷明细,available_crawled,13209,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_questionnaire_long.csv,逐实体问卷明细 13209 行；官网组件状态由 legacy normalizer 明确给出。
JP,12,associations_covote,关联/共投,available_crawled,15915,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_association_long.csv,逐实体关联明细 15915 行；与实体 numeric profile 同源。
JP,12,condition_rankings,条件榜,not_applicable,0,0,condition_files,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 逐实体关联不等同于 CN 现代站的任意问卷选项条件榜。
JP,12,open_text,开放文本,pending,0,,official_comment_pages,incomplete_or_unverified,metadata/jp_official_legacy_coverage.json,现有覆盖元数据没有明确证明开放文本已提供或已完整抓取，保守记 pending。
JP,13,main_rankings,主榜,available_crawled,1141,4,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/source_entity_metrics.csv,"官网已抓排名类别：character, music, partner, work；抓取失败记录 0 条。"
JP,13,questionnaire_definitions,问卷定义,available_crawled,12,,questions,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 665 行、约 12 个题目键。
JP,13,questionnaire_results,问卷结果,available_crawled,665,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 665 行、约 12 个题目键。
JP,13,questionnaire_trends,问卷趋势,not_applicable,0,0,series,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 静态アンケート页没有与 CN 现代接口按小时趋势表同构的组件。
JP,13,entity_questionnaire_details,实体问卷明细,available_crawled,13644,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_questionnaire_long.csv,逐实体问卷明细 13644 行；官网组件状态由 legacy normalizer 明确给出。
JP,13,associations_covote,关联/共投,available_crawled,20608,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_association_long.csv,逐实体关联明细 20608 行；与实体 numeric profile 同源。
JP,13,condition_rankings,条件榜,not_applicable,0,0,condition_files,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 逐实体关联不等同于 CN 现代站的任意问卷选项条件榜。
JP,13,open_text,开放文本,pending,0,,official_comment_pages,incomplete_or_unverified,metadata/jp_official_legacy_coverage.json,现有覆盖元数据没有明确证明开放文本已提供或已完整抓取，保守记 pending。
JP,14,main_rankings,主榜,available_crawled,757,3,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/source_entity_metrics.csv,"官网已抓排名类别：character, music, work；抓取失败记录 0 条。"
JP,14,questionnaire_definitions,问卷定义,available_crawled,12,,questions,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 270 行、约 12 个题目键。
JP,14,questionnaire_results,问卷结果,available_crawled,270,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 270 行、约 12 个题目键。
JP,14,questionnaire_trends,问卷趋势,not_applicable,0,0,series,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 静态アンケート页没有与 CN 现代接口按小时趋势表同构的组件。
JP,14,entity_questionnaire_details,实体问卷明细,available_crawled,28652,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_questionnaire_long.csv,逐实体问卷明细 28652 行；官网组件状态由 legacy normalizer 明确给出。
JP,14,associations_covote,关联/共投,available_crawled,26214,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_association_long.csv,逐实体关联明细 26214 行；与实体 numeric profile 同源。
JP,14,condition_rankings,条件榜,not_applicable,0,0,condition_files,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 逐实体关联不等同于 CN 现代站的任意问卷选项条件榜。
JP,14,open_text,开放文本,pending,0,,official_comment_pages,incomplete_or_unverified,metadata/jp_official_legacy_coverage.json,现有覆盖元数据没有明确证明开放文本已提供或已完整抓取，保守记 pending。
JP,15,main_rankings,主榜,available_crawled,762,3,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/source_entity_metrics.csv,"官网已抓排名类别：character, music, work；抓取失败记录 0 条。"
JP,15,questionnaire_definitions,问卷定义,available_crawled,11,,questions,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 514 行、约 11 个题目键。
JP,15,questionnaire_results,问卷结果,available_crawled,514,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 514 行、约 11 个题目键。
JP,15,questionnaire_trends,问卷趋势,not_applicable,0,0,series,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 静态アンケート页没有与 CN 现代接口按小时趋势表同构的组件。
JP,15,entity_questionnaire_details,实体问卷明细,available_crawled,28956,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_questionnaire_long.csv,逐实体问卷明细 28956 行；官网组件状态由 legacy normalizer 明确给出。
JP,15,associations_covote,关联/共投,available_crawled,26417,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_association_long.csv,逐实体关联明细 26417 行；与实体 numeric profile 同源。
JP,15,condition_rankings,条件榜,not_applicable,0,0,condition_files,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 逐实体关联不等同于 CN 现代站的任意问卷选项条件榜。
JP,15,open_text,开放文本,pending,0,,official_comment_pages,incomplete_or_unverified,metadata/jp_official_legacy_coverage.json,现有覆盖元数据没有明确证明开放文本已提供或已完整抓取，保守记 pending。
JP,16,main_rankings,主榜,available_crawled,795,3,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/source_entity_metrics.csv,"官网已抓排名类别：character, music, work；抓取失败记录 0 条。"
JP,16,questionnaire_definitions,问卷定义,available_crawled,11,,questions,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 527 行、约 11 个题目键。
JP,16,questionnaire_results,问卷结果,available_crawled,527,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 527 行、约 11 个题目键。
JP,16,questionnaire_trends,问卷趋势,not_applicable,0,0,series,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 静态アンケート页没有与 CN 现代接口按小时趋势表同构的组件。
JP,16,entity_questionnaire_details,实体问卷明细,available_crawled,31005,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_questionnaire_long.csv,逐实体问卷明细 31005 行；官网组件状态由 legacy normalizer 明确给出。
JP,16,associations_covote,关联/共投,available_crawled,26743,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_association_long.csv,逐实体关联明细 26743 行；与实体 numeric profile 同源。
JP,16,condition_rankings,条件榜,not_applicable,0,0,condition_files,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 逐实体关联不等同于 CN 现代站的任意问卷选项条件榜。
JP,16,open_text,开放文本,pending,0,,official_comment_pages,incomplete_or_unverified,metadata/jp_official_legacy_coverage.json,现有覆盖元数据没有明确证明开放文本已提供或已完整抓取，保守记 pending。
JP,17,main_rankings,主榜,available_crawled,827,,normalized_rows,processed_table,metadata/jp_official_normalization_report.json;data_processed/jp_official/rankings.csv,官网现站规范化主榜 827 行。
JP,17,questionnaire_definitions,问卷定义,available_crawled,10,,question_keys,processed_table,metadata/jp_official_normalization_report.json;data_processed/jp_official/questionnaire_long.csv,アンケート模块含 10 个 question_key。
JP,17,questionnaire_results,问卷结果,available_crawled,236,,normalized_rows,processed_table,metadata/jp_official_normalization_report.json;data_processed/jp_official/questionnaire_long.csv,アンケート结果长表 236 行。
JP,17,questionnaire_trends,问卷趋势,not_applicable,0,0,series,interface_scope,metadata/jp_official_download_manifest.json,JP 现站模块没有与 CN 现代接口按小时趋势表同构的公开组件。
JP,17,entity_questionnaire_details,实体问卷明细,available_crawled,33080,,normalized_rows,processed_table,metadata/jp_official_download_manifest.json;metadata/jp_official_normalization_report.json;data_processed/jp_official/detail_questionnaire_long.csv,逐实体问卷明细 33080 行。
JP,17,associations_covote,关联/共投,available_crawled,37103,,normalized_rows,processed_table,metadata/jp_official_download_manifest.json;metadata/jp_official_normalization_report.json;data_processed/jp_official/detail_associations.csv,逐实体关联明细 37103 行。
JP,17,condition_rankings,条件榜,not_applicable,0,0,condition_files,interface_scope,metadata/jp_official_download_manifest.json,JP 逐实体关联页不等同于 CN 现代站的任意问卷选项条件榜。
JP,17,open_text,开放文本,pending,0,,feedback_responses,incomplete_or_unverified,data_processed/jp_official/questionnaire_feedback_counts.csv;metadata/jp_official_download_manifest.json,当前 processed/manifest 未证明该回开放反馈完整抓取，保守记 pending。
JP,18,main_rankings,主榜,available_crawled,844,,normalized_rows,processed_table,metadata/jp_official_normalization_report.json;data_processed/jp_official/rankings.csv,官网现站规范化主榜 844 行。
JP,18,questionnaire_definitions,问卷定义,available_crawled,10,,question_keys,processed_table,metadata/jp_official_normalization_report.json;data_processed/jp_official/questionnaire_long.csv,アンケート模块含 10 个 question_key。
JP,18,questionnaire_results,问卷结果,available_crawled,248,,normalized_rows,processed_table,metadata/jp_official_normalization_report.json;data_processed/jp_official/questionnaire_long.csv,アンケート结果长表 248 行。
JP,18,questionnaire_trends,问卷趋势,not_applicable,0,0,series,interface_scope,metadata/jp_official_download_manifest.json,JP 现站模块没有与 CN 现代接口按小时趋势表同构的公开组件。
JP,18,entity_questionnaire_details,实体问卷明细,available_crawled,34393,,normalized_rows,processed_table,metadata/jp_official_download_manifest.json;metadata/jp_official_normalization_report.json;data_processed/jp_official/detail_questionnaire_long.csv,逐实体问卷明细 34393 行。
