source,table_index,table_heading,table_id,row_index,cell_index,cell_type,text,number,percent,numeric_tokens
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,4,投票群相关,stable,3,1,td,1015票，占13.04%,,13.04,[1015]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,4,投票群相关,stable,4,0,td,五年以上：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,4,投票群相关,stable,4,1,td,811票，占10.42%,,10.42,[811]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,4,投票群相关,stable,5,0,td,半年以内：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,4,投票群相关,stable,5,1,td,374票，占4.8%,,4.8,[374]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,4,投票群相关,stable,6,0,td,不到一个月：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,4,投票群相关,stable,6,1,td,94票，占1.21%,,1.21,[94]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,4,投票群相关,stable,7,0,td,+ 图表,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,5,投票群相关,stable,0,0,th,5.所在地址,,,[5]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,5,投票群相关,stable,1,0,td,+ 数据,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,5,投票群相关,stable,2,0,td,+ 图表,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,0,0,td,广东：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,0,1,td,1091票，占14.01%,,14.01,[1091]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,1,0,td,上海：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,1,1,td,657票，占8.44%,,8.44,[657]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,2,0,td,江苏：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,2,1,td,606票，占7.78%,,7.78,[606]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,3,0,td,浙江：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,3,1,td,590票，占7.58%,,7.58,[590]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,4,0,td,北京：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,4,1,td,496票，占6.37%,,6.37,[496]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,5,0,td,四川：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,5,1,td,402票，占5.16%,,5.16,[402]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,6,0,td,福建：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,6,1,td,342票，占4.39%,,4.39,[342]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,7,0,td,湖北：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,7,1,td,327票，占4.2%,,4.2,[327]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,8,0,td,广西：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,8,1,td,297票，占3.82%,,3.82,[297]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,9,0,td,山东：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,9,1,td,290票，占3.73%,,3.73,[290]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,10,0,td,安徽：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,10,1,td,223票，占2.86%,,2.86,[223]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,11,0,td,湖南：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,11,1,td,212票，占2.72%,,2.72,[212]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,12,0,td,辽宁：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,12,1,td,204票，占2.62%,,2.62,[204]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,13,0,td,重庆：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,13,1,td,175票，占2.25%,,2.25,[175]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,14,0,td,河北：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,14,1,td,168票，占2.16%,,2.16,[168]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,15,0,td,天津：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,15,1,td,157票，占2.02%,,2.02,[157]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,16,0,td,河南：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,16,1,td,155票，占1.99%,,1.99,[155]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,17,0,td,江西：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,17,1,td,151票，占1.94%,,1.94,[151]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,18,0,td,黑龙江：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,18,1,td,139票，占1.79%,,1.79,[139]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,19,0,td,香港：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,19,1,td,114票，占1.46%,,1.46,[114]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,20,0,td,美洲：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,20,1,td,112票，占1.44%,,1.44,[112]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,21,0,td,陕西：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,21,1,td,111票，占1.43%,,1.43,[111]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,22,0,td,台湾：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,22,1,td,107票，占1.37%,,1.37,[107]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,23,0,td,山西：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,23,1,td,79票，占1.01%,,1.01,[79]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,24,0,td,贵州：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,24,1,td,77票，占0.99%,,0.99,[77]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,25,0,td,吉林：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,25,1,td,77票，占0.99%,,0.99,[77]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,26,0,td,云南：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,26,1,td,71票，占0.91%,,0.91,[71]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,27,0,td,内蒙古：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,27,1,td,53票，占0.68%,,0.68,[53]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,28,0,td,海南：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,28,1,td,42票，占0.54%,,0.54,[42]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,29,0,td,日本：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,29,1,td,41票，占0.53%,,0.53,[41]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,30,0,td,欧洲：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,30,1,td,38票，占0.49%,,0.49,[38]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,31,0,td,其他：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,31,1,td,38票，占0.49%,,0.49,[38]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,32,0,td,澳洲：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,32,1,td,28票，占0.36%,,0.36,[28]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,33,0,td,甘肃：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,33,1,td,28票，占0.36%,,0.36,[28]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,34,0,td,新疆：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,34,1,td,27票，占0.35%,,0.35,[27]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,35,0,td,亚洲：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,35,1,td,23票，占0.3%,,0.3,[23]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,36,0,td,宁夏：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,36,1,td,20票，占0.26%,,0.26,[20]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,37,0,td,澳门：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,37,1,td,11票，占0.14%,,0.14,[11]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,38,0,td,非洲：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,38,1,td,3票，占0.04%,,0.04,[3]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,39,0,td,青海：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,6,投票群相关,stable3,39,1,td,3票，占0.04%,,0.04,[3]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,7,投票群相关,stable,0,0,th,6.工作类型,,,[6]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,7,投票群相关,stable,1,0,td,在校学生：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,7,投票群相关,stable,1,1,td,6320票，占81.18%,,81.18,[6320]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,7,投票群相关,stable,2,0,td,固定工作者：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,7,投票群相关,stable,2,1,td,890票，占11.43%,,11.43,[890]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,7,投票群相关,stable,3,0,td,自由职业者：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,7,投票群相关,stable,3,1,td,276票，占3.55%,,3.55,[276]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,7,投票群相关,stable,4,0,td,待业/无业/失业：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,7,投票群相关,stable,4,1,td,167票，占2.15%,,2.15,[167]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,7,投票群相关,stable,5,0,td,其他：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,7,投票群相关,stable,5,1,td,132票，占1.7%,,1.7,[132]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,7,投票群相关,stable,6,0,td,+ 图表,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,8,原作相关调查,stable,0,0,th,1.是否玩过旧作,,,[1]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,8,原作相关调查,stable,1,0,td,否：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,8,原作相关调查,stable,1,1,td,5138票，占66%,,66.0,[5138]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,8,原作相关调查,stable,2,0,td,是：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,8,原作相关调查,stable,2,1,td,2647票，占34%,,34.0,[2647]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,8,原作相关调查,stable,3,0,td,+ 图表,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,9,原作相关调查,stable,0,0,th,2.原作当中更喜欢的类型,,,[2]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,9,原作相关调查,stable,1,0,td,STG：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,9,原作相关调查,stable,1,1,td,3653票，占46.92%,,46.92,[3653]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,9,原作相关调查,stable,2,0,td,都差不多：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,9,原作相关调查,stable,2,1,td,2462票，占31.62%,,31.62,[2462]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,9,原作相关调查,stable,3,0,td,FTG：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,9,原作相关调查,stable,3,1,td,1670票，占21.45%,,21.45,[1670]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,9,原作相关调查,stable,4,0,td,+ 图表,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,10,原作相关调查,stable,0,0,th,3.是否玩过东方辉针城,,,[3]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,10,原作相关调查,stable,1,0,td,未玩过：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,10,原作相关调查,stable,1,1,td,3160票，占40.59%,,40.59,[3160]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,10,原作相关调查,stable,2,0,td,非常喜欢：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,10,原作相关调查,stable,2,1,td,2427票，占31.18%,,31.18,[2427]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,10,原作相关调查,stable,3,0,td,仅仅玩过：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,10,原作相关调查,stable,3,1,td,2198票，占28.23%,,28.23,[2198]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,10,原作相关调查,stable,4,0,td,+ 图表,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,11,原作相关调查,stable,0,0,th,4.是否玩过东方心绮楼,,,[4]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,11,原作相关调查,stable,1,0,td,仅仅玩过：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,11,原作相关调查,stable,1,1,td,2918票，占37.48%,,37.48,[2918]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,11,原作相关调查,stable,2,0,td,非常喜欢：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,11,原作相关调查,stable,2,1,td,2907票，占37.34%,,37.34,[2907]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,11,原作相关调查,stable,3,0,td,未玩过：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,11,原作相关调查,stable,3,1,td,1960票，占25.18%,,25.18,[1960]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,11,原作相关调查,stable,4,0,td,+ 图表,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,12,原作相关调查,stable,0,0,th,5.是否听过伊奘诺物质,,,[5]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,12,原作相关调查,stable,1,0,td,听过：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,12,原作相关调查,stable,1,1,td,2983票，占38.32%,,38.32,[2983]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,12,原作相关调查,stable,2,0,td,知道但未听过：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,12,原作相关调查,stable,2,1,td,2907票，占37.34%,,37.34,[2907]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,12,原作相关调查,stable,3,0,td,不知道：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,12,原作相关调查,stable,3,1,td,1895票，占24.34%,,24.34,[1895]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,12,原作相关调查,stable,4,0,td,+ 图表,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,13,原作相关调查,stable,0,0,th,6.是否看过东方铃奈庵,,,[6]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,13,原作相关调查,stable,1,0,td,看过：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,13,原作相关调查,stable,1,1,td,4273票，占54.89%,,54.89,[4273]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,13,原作相关调查,stable,2,0,td,知道但未看过：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,13,原作相关调查,stable,2,1,td,2750票，占35.32%,,35.32,[2750]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,13,原作相关调查,stable,3,0,td,不知道：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,13,原作相关调查,stable,3,1,td,762票，占9.79%,,9.79,[762]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,13,原作相关调查,stable,4,0,td,+ 图表,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,14,原作相关调查,stable,0,0,th,7.喜欢原作的方面,,,[7]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,14,原作相关调查,stable,1,0,td,人物：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,14,原作相关调查,stable,1,1,td,6482票，占83.26%,,83.26,[6482]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,14,原作相关调查,stable,2,0,td,音乐：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,14,原作相关调查,stable,2,1,td,6248票，占80.26%,,80.26,[6248]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,14,原作相关调查,stable,3,0,td,故事设定：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,14,原作相关调查,stable,3,1,td,5397票，占69.33%,,69.33,[5397]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,14,原作相关调查,stable,4,0,td,游戏本身：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,14,原作相关调查,stable,4,1,td,4237票，占54.43%,,54.43,[4237]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,14,原作相关调查,stable,5,0,td,+ 图表,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,15,原作相关调查,stable,0,0,th,8.有无购买正版原作,,,[8]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,15,原作相关调查,stable,1,0,td,想买但没有机会：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,15,原作相关调查,stable,1,1,td,4728票，占60.73%,,60.73,[4728]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,15,原作相关调查,stable,2,0,td,有：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,15,原作相关调查,stable,2,1,td,1955票，占25.11%,,25.11,[1955]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,15,原作相关调查,stable,3,0,td,没有考虑过：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,15,原作相关调查,stable,3,1,td,1102票，占14.16%,,14.16,[1102]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,15,原作相关调查,stable,4,0,td,+ 图表,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,16,原作相关调查,stable,0,0,th,8.1.（有购买的情况下）购买的渠道是,,,[8.1]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,16,原作相关调查,stable,1,0,td,通过代购：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,16,原作相关调查,stable,1,1,td,1147票，占1955票的58.67%,,58.67,[1147]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,16,原作相关调查,stable,2,0,td,实地购买：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,16,原作相关调查,stable,2,1,td,661票，占1955票的33.81%,,33.81,[661]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,16,原作相关调查,stable,3,0,td,委托朋友：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,16,原作相关调查,stable,3,1,td,357票，占1955票的18.26%,,18.26,[357]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,16,原作相关调查,stable,4,0,td,购买二手：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,16,原作相关调查,stable,4,1,td,183票，占1955票的9.36%,,9.36,[183]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,16,原作相关调查,stable,5,0,td,+ 图表,,,[]
