event_id,event_date,event_time_precision,platform,platform_region,poll_region_alignment,diffusion_class,character_cn,character_jp,event_type,community_layer,poll_round_before,poll_round_after,phase,source_url,source_title_or_excerpt,metric_snapshot,observed_at,interpretation,causal_limit,verification_status,character_key,before_rank,after_rank,rank_improvement,before_candidate_count,after_candidate_count,before_top_percentile,after_top_percentile,before_points_jp,after_points_jp,before_primary_jp,after_primary_jp,before_official_support_jp,after_official_support_jp,before_votes_cn,after_votes_cn,before_primary_cn,after_primary_cn,before_weighted_score_cn,after_weighted_score_cn,join_status,alignment_limit
x_r11_renko_surprise,2015-06-01,second,X,JP,jp,domestic_platform_poll_alignment,宇佐见莲子,宇佐見 蓮子,result_interpretation,discussion,10,11,post_result,https://x.com/kochi13/status/605216258016092160,正邪布都小伞上涨尚可理解但莲子发生了什么,,2026-08-23,同一帖子把莲子作为无法解释的上涨案例保留了不确定性,惊讶不等于发现了传播机制,verified_logged_in,宇佐见莲子,37,22,15.0,159,172,77.2152,87.7193,1889,2577,231,342,,3,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_r11_seija_parsee_pair,2015-06-02,second,X,JP,jp,domestic_platform_poll_alignment,鬼人正邪,鬼人 正邪,meme_pairing,comment,10,11,post_result,https://x.com/levelerf/status/605689454615920640,下克上后的正邪与嫉妒妖怪帕露西同列27是否形成新组合,,2026-08-23,一设中的下克上与同名次偶合被快速组合成赛后新梗,结果后生成的组合梗不能反向解释投票期票数,verified_logged_in,鬼人正邪,56,27,29.0,159,172,65.1899,84.7953,1107,2303,97,337,,6,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_r11_parsee_seija_pair,2015-06-02,second,X,JP,jp,domestic_platform_poll_alignment,水桥帕露西,水橋 パルスィ,meme_pairing,comment,10,11,post_result,https://x.com/levelerf/status/605689454615920640,下克上后的正邪与嫉妒妖怪帕露西同列27是否形成新组合,,2026-08-23,同名次成为跨角色二创关系的触发器,回复样本不代表组合梗已广泛扩散,verified_logged_in,水桥帕露西,25,27,-2.0,159,172,84.8101,84.7953,2216,2303,387,450,,7,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_r11_overview,2015-06-02,second,X,JP,jp,domestic_platform_poll_alignment,鬼人正邪,鬼人 正邪,result_visualization,discussion,10,11,post_result,https://x.com/chair_RYUCA/status/605422650312257536,第11回个人看点图,679转发;486赞,2026-08-23,结果可视化本身形成高互动的二次传播入口,当前看到的是帖子累计互动不是投票规模,verified_logged_in,鬼人正邪,56,27,29.0,159,172,65.1899,84.7953,1107,2303,97,337,,6,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_r12_easya_last_day,2016-01-16,second,X,JP,jp,domestic_platform_poll_alignment,易者,易者,support_or_mobilization,discussion,11,12,during_vote,https://x.com/augur_bot/status/688013210868408320,投票末日提醒并以易经太极图包装易者,,2026-08-23,角色一设和视觉符号被直接用于投票末日动员,无法识别看帖者是否投票或改变选择,verified_logged_in,易者,100,77,23.0,172,169,42.1053,54.7619,129,1083,18,96,0,3,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_r12_easya_followup,2016-01-16,second,X,JP,jp,domestic_platform_poll_alignment,易者,易者,support_or_mobilization,discussion,11,12,post_vote,https://x.com/augur_bot/status/688303381190807552,投票后继续以易者身份梗自我包装,,2026-08-23,连续角色扮演说明易者热度不只是一条结果帖,无法把账号连续发帖换算成受众人数,verified_logged_in,易者,100,77,23.0,172,169,42.1053,54.7619,129,1083,18,96,0,3,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_r12_easya_result,2016-01-21,second,X,JP,jp,domestic_platform_poll_alignment,易者,易者,result_meme,discussion,11,12,post_result,https://x.com/augur_bot/status/690144683004203008,赛后以幸运数字解释易者名次,,2026-08-23,名次数字被吸收为易者占卜梗的一部分,结果梗不能解释结果产生过程,verified_logged_in,易者,100,77,23.0,172,169,42.1053,54.7619,129,1083,18,96,0,3,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_akyuu_death_2016,2016-08-13,second,X,JP,jp,domestic_platform_poll_alignment,稗田阿求,稗田 阿求,canon_extrapolation,discussion,12,13,long_term_background,https://x.com/Tea_tya_rairen/status/764279935317848064,若幻想乡不是海螺小姐时空阿求不久会死,,2026-08-23,直接证明现实年表死亡梗至少在2016年已公开出现,单帖不足以测量当年普及率,verified_logged_in,稗田阿求,69,65,4.0,169,175,59.5238,63.2184,1391,1278,116,115,0,1,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_r13_shingyoku_rise,2017-02-01,second,X,JP,jp,domestic_platform_poll_alignment,神玉,神玉,result_interpretation,discussion,12,13,post_result,https://x.com/nickel495/status/826800952749338625,神玉上升11位且为旧作角色中升幅最大,,2026-08-23,小众旧作角色的变化在第13回已被专门统计,升幅最大按该帖口径仍应与官方全榜复核,verified_logged_in,神玉,150,139,11.0,169,175,11.3095,20.6897,43,61,3,5,0,0,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_akyuu_death_2017,2017-12-13,second,X,JP,jp,domestic_platform_poll_alignment,稗田阿求,稗田 阿求,canon_extrapolation,discussion,13,14,long_term_background,https://x.com/sidou_nanami/status/940958989092773888,再出约五作阿求就会死,,2026-08-23,现实时间与作品数量被继续用于阿求寿命推算,推算不是官方剧情时间,verified_logged_in,稗田阿求,65,74,-9.0,175,186,63.2184,60.5405,1278,981,115,90,1,1,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_r14_doremy_support,2018-01-20,second,X,JP,jp,domestic_platform_poll_alignment,哆来咪·苏伊特,ドレミー・スイート,support_art,derivative,13,14,during_vote,https://x.com/mottle_silver/status/954708420074004481,第14回末日滑入式哆来咪支援图,,2026-08-23,投票末日有明确角色应援且随后名次70到27,时间相邻不等于支援图造成43名跃升,verified_logged_in,哆来咪苏伊特,70,27,43.0,175,186,60.3448,85.9459,1146,2623,66,228,2,10,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_r14_doremy_rise,2018-01-23,second,X,JP,jp,domestic_platform_poll_alignment,哆来咪·苏伊特,ドレミー・スイート,result_interpretation,discussion,13,14,post_result,https://x.com/_yutoy/status/955735768076464128,哆来咪上涨很厉害,,2026-08-23,赛后社区清楚注意到哆来咪大幅上涨,感叹帖不提供机制识别,verified_logged_in,哆来咪苏伊特,70,27,43.0,175,186,60.3448,85.9459,1146,2623,66,228,2,10,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_akyuu_death_2018,2018-05-20,second,X,JP,jp,domestic_platform_poll_alignment,稗田阿求,稗田 阿求,canon_extrapolation,derivative,14,15,long_term_background,https://x.com/sidou_nanami/status/998146829056274433,若阿求死时灵梦也会相当大年纪并据此构思二创,,2026-08-23,寿命梗已经被用于二创世界观构思,二创设想不是官方年表,verified_logged_in,稗田阿求,74,72,2.0,186,186,60.5405,61.6216,981,758,90,73,1,1,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_akyuu_death_2020,2020-03-20,second,X,JP,jp,domestic_platform_poll_alignment,稗田阿求,稗田 阿求,canon_extrapolation,discussion,15,16,long_term_background,https://x.com/908kureha/status/1240952902438416384,比一百天后死的鳄鱼更在意相识十多年的阿求是否会死,,2026-08-23,阿求梗与当时流行死亡叙事发生跨作品关联,单帖互动与覆盖未记录,verified_logged_in,稗田阿求,72,72,0.0,186,198,61.6216,63.9594,758,1060,73,90,1,0,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_akyuu_death_2021,2021-09-10,second,X,JP,jp,domestic_platform_poll_alignment,稗田阿求,稗田 阿求,canon_extrapolation,discussion,16,17,long_term_background,https://x.com/touhouhenkenbot/status/1436144263763410959,2024年前后阿求是否死亡会成为世界观转折点,44转发;355赞,2026-08-23,高于前述单帖的可见互动证明2024节点在投票前数年已被公开讨论,互动量不能视为支持票,verified_logged_in,稗田阿求,72,83,-11.0,198,206,63.9594,60.0,1060,917,90,87,0,5,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_r18_parsee_38,2022-09-27,second,X,JP,jp,domestic_platform_poll_alignment,水桥帕露西,水橋 パルスィ,result_celebration,derivative,17,18,post_result,https://x.com/rotonoturugi_1/status/1574773819096846337,第18回帕露西38名庆祝,,2026-08-23,中腰部角色也有明确名次庆祝作品,庆祝帖不能说明未发帖支持者的规模,verified_logged_in,水桥帕露西,41,38,3.0,206,208,80.4878,82.1256,2184,3058,339,426,7,6,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_akyuu_death_2023,2023-08-11,second,X,JP,jp,domestic_platform_poll_alignment,稗田阿求,稗田 阿求,canon_extrapolation,discussion,18,19,long_term_background,https://x.com/aqpaca/status/1689935324343144448,吐槽太多人以阿求今年会死为前提,,2026-08-23,反向吐槽说明该说法在2023年已成为可识别前提,仍不能由单帖判断多数粉丝真实信念,verified_logged_in,稗田阿求,87,86,1.0,208,216,58.4541,60.4651,960,1112,81,109,4,5,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_akyuu_countdown_2024,2024-07-25,second,X,JP,jp,domestic_platform_poll_alignment,稗田阿求,稗田 阿求,countdown_meme,discussion,19,20,pre_vote,https://x.com/3d_Kazu/status/1816399892388155709,距离阿求命日不到两周,,2026-08-23,2024节点在投票前进入倒计时阶段且承接多年旧梗,精确命日是社区推算不是官方剧情,verified_logged_in,稗田阿求,86,39,47.0,216,217,60.4651,82.4074,1112,3011,109,315,5,6,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_akyuu_counterview_2024,2024-07-28,second,X,JP,jp,domestic_platform_poll_alignment,稗田阿求,稗田 阿求,counter_interpretation,discussion,19,20,pre_vote,https://x.com/takomokota/status/1817510696353169478,只是考据党讨论粉丝总体并不真认为她会死,,2026-08-23,保留同一社区内部对梗普及度和认真程度的反方意见,单条反方帖也不能代表总体,verified_logged_in,稗田阿求,86,39,47.0,216,217,60.4651,82.4074,1112,3011,109,315,5,6,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_r21_larva_rule,2025-08-30,second,X,JP,jp,domestic_platform_poll_alignment,莉格露·奈特巴格,リグル・ナイトバグ,rule_interpretation,discussion,20,21,post_result,https://x.com/Velno_31/status/1961657279889248518,预测旧权重对莉格露名次影响,,2026-08-23,规则变化如何影响长尾角色被即时讨论,社区估算需与官方复算区分,verified_logged_in,莉格露奈特巴格,71,63,8.0,217,221,67.5926,71.8182,1323,1906,234,227,6,6,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_r21_rule_counterfactual,2025-08-30,second,X,JP,jp,domestic_platform_poll_alignment,古明地恋,古明地 こいし,rule_counterfactual,discussion,20,21,post_result,https://x.com/iTsumiH2O/status/1961752329176379426,按旧2比1计分重算第21回,,2026-08-23,说明冠军标题对计分权重敏感且回复将其与琪露诺九梗联系,社区帖与官方复算口径必须分开,verified_logged_in,古明地恋,4,1,3.0,217,221,98.6111,100.0,16273,27688,3334,5133,32,28,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_r21_ryurei_top100,2025-08-30,second,X,JP,jp,domestic_platform_poll_alignment,宫出口瑞灵,宮出口瑞霊,result_celebration,derivative,20,21,post_result,https://x.com/KKalfa55611932/status/1961789699737133318,瑞灵首次Top100并继续为第22回应援,,2026-08-23,瑞灵118到91且官方支援数8到138与持续应援同时可见,支援数和帖子不能相加或当成票数,verified_logged_in,宫出口瑞灵,118,91,27.0,217,221,45.8333,59.0909,507,1207,38,91,8,138,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_r21_louise_longtail,2025-08-31,second,X,JP,jp,domestic_platform_poll_alignment,露易兹,ルイズ,long_tail_statistics,discussion,20,21,post_result,https://x.com/kuroyuMKW_0906/status/1961817971673952643,第21回长尾露易兹神玉幽玄魔眼等分层统计,,2026-08-23,结果讨论明确覆盖旧作长尾而非只看Top100,分层统计的候选定义仍需与官方表逐项核对,verified_logged_in,露易兹,169,176,-7.0,217,221,22.2222,20.4545,87,108,7,8,1,1,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_r21_shingyoku_longtail,2025-08-31,second,X,JP,jp,domestic_platform_poll_alignment,神玉,神玉,long_tail_statistics,discussion,20,21,post_result,https://x.com/kuroyuMKW_0906/status/1961817971673952643,第21回长尾露易兹神玉幽玄魔眼等分层统计,,2026-08-23,神玉在早期第13回与第21回长尾讨论中均被点名,帖子不能填补不存在的逐年社媒全量,verified_logged_in,神玉,170,170,0.0,217,221,21.7593,23.1818,86,154,9,16,3,2,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_r21_mimaeye_longtail,2025-08-31,second,X,JP,jp,domestic_platform_poll_alignment,幽幻魔眼,ユウゲンマガン,long_tail_statistics,discussion,20,21,post_result,https://x.com/kuroyuMKW_0906/status/1961817971673952643,第21回长尾露易兹神玉幽玄魔眼等分层统计,,2026-08-23,无台词旧作角色也进入赛后分层旁证,长尾微小票差对同票和候选口径敏感,verified_logged_in,幽幻魔眼,165,167,-2.0,217,221,24.0741,24.5455,115,170,9,8,1,2,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_r21_kikuri_bottom,2025-08-31,second,X,JP,jp,domestic_platform_poll_alignment,菊理,キクリ,long_tail_statistics,discussion,20,21,post_result,https://x.com/kuroyuMKW_0906/status/1961811821289160881,最低位有名Boss菊理讨论,,2026-08-23,最低位角色也能成为统计讨论对象避免幸存者偏差,单帖不代表菊理拥有稳定创作生态,verified_logged_in,菊理,184,181,3.0,217,221,15.2778,18.1818,49,77,1,4,1,1,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
x_r21_fairy_merge_watch,2025-08-30,day,X,JP,jp,domestic_platform_poll_alignment,妖精（女仆妖精、向日葵妖精等）,妖精（メイド妖精・ひまわり妖精 他）,candidate_definition_watch,discussion,20,21,post_result,https://x.com/iTsumiH2O/status/1961752329176379426,一押率与规则讨论牵出合并候选项异常变化,,2026-08-23,妖精合并项171到101需优先核查候选定义和合并口径,没有足够证据前不解释为真实人气暴涨,needs_candidate_definition_audit,妖精女仆妖精向日葵妖精等,171,101,70.0,217,221,21.2963,54.5455,85,971,4,186,,9,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
jmpd_r4_marisa,2005-12-28,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,雾雨魔理沙,霧雨 魔理沙,result_interpretation,analysis,4,5,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-358.html,第4回结果分析：魔理沙连续强势（含EX规则可视作三连冠）,个人赛后观察；无互动量快照,2026-08-24,作者把魔理沙的连续高位作为第4回最醒目的结果叙事,单篇博客为事后解释且未控制规则与投票者构成,verified_public_web,雾雨魔理沙,1,2,-1.0,71,94,100.0,98.9247,1301,3867,409,844,,,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
jmpd_r4_reimu,2005-12-28,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,博丽灵梦,博麗 霊夢,result_interpretation,analysis,4,5,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-358.html,第4回结果分析：灵梦大幅上升,个人赛后观察；无互动量快照,2026-08-24,作者明确指出灵梦排名改善但未给出可检验的单一原因,单篇博客为事后解释且未控制规则与投票者构成,verified_public_web,博丽灵梦,2,1,1.0,71,94,98.5714,100.0,1245,3927,379,881,,,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
jmpd_r4_yuyuko,2005-12-28,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,西行寺幽幽子,西行寺 幽々子,result_interpretation,analysis,4,5,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-358.html,第4回结果分析：幽幽子第4位，作者认为可能进入稳定区间,个人赛后观察；无互动量快照,2026-08-24,这是对名次所处区间的描述性解释，不是稳定粉丝盘的测量,单篇博客为事后解释且未控制规则与投票者构成,verified_public_web,西行寺幽幽子,4,6,-2.0,71,94,95.7143,94.6237,1092,2973,312,661,,,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
jmpd_r4_aya,2005-12-28,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,射命丸文,射命丸 文,result_interpretation,analysis,4,5,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-358.html,第4回新角色文第8位；作者预测《文花帖》后续可能继续提高其人气,个人赛后观察；无互动量快照,2026-08-24,文花帖预期被写成赛后解释与预测，不能视为后来上升的唯一原因,预测与因果均未被该文单独验证,verified_public_web,射命丸文,8,3,5.0,71,94,90.0,97.8495,886,3774,167,648,,,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
jmpd_r4_komachi,2005-12-28,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,小野塚小町,小野塚 小町,result_interpretation,analysis,4,5,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-358.html,第4回新角色小町第23位；作者认为名次偏低,个人赛后观察；无互动量快照,2026-08-24,记录作者对小町名次的主观惊讶,单篇博客且没有投票者调查或曝光量数据,verified_public_web,小野塚小町,23,28,-5.0,71,94,68.5714,70.9677,237,855,32,87,,,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
jmpd_r4_eiki,2005-12-28,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,四季映姬·夜摩仙那度,四季映姫・ヤマザナドゥ,result_table_mention,analysis,4,5,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-358.html,第4回新角色映姬第25位，列入新角色名次观察,个人赛后观察；无互动量快照,2026-08-24,仅表示作者将映姬纳入新角色结果表的讨论,表格出现不等于角色机制或投票动员证据,verified_public_web,四季映姬夜摩仙那度,25,18,7.0,71,94,65.7143,81.7204,225,1586,32,211,,,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
jmpd_r4_medicine,2005-12-28,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,梅蒂欣·梅兰可莉,メディスン・メランコリー,result_table_mention,analysis,4,5,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-358.html,第4回新角色梅蒂欣第34位，列入新角色名次观察,个人赛后观察；无互动量快照,2026-08-24,仅表示作者将梅蒂欣纳入新角色结果表的讨论,表格出现不等于角色机制或投票动员证据,verified_public_web,梅蒂欣梅兰可莉,34,43,-9.0,71,94,52.8571,54.8387,93,306,14,42,,,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
jmpd_r5_reimu,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,博丽灵梦,博麗 霊夢,result_interpretation,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回按作品拆分分析：灵梦与魔理沙为主人公组，灵梦摆脱“拿不到第一”的形象,个人赛后观察；无互动量快照,2026-08-24,文章把主人公组的名次变化与长期印象并置,单篇博客为事后观察，未控制投票者构成与其他曝光,verified_public_web,博丽灵梦,1,1,0.0,94,108,100.0,100.0,3927,5739,881,1312,,,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
jmpd_r5_marisa,2008-02-18,day,Japanese blog,JP,jp,domestic_platform_poll_alignment,雾雨魔理沙,霧雨 魔理沙,result_interpretation,analysis,5,6,post_result,https://exemptyjmpd.blog.fc2.com/blog-entry-1375.html,第5回按作品拆分分析：魔理沙仍保持强势,个人赛后观察；无互动量快照,2026-08-24,作者把魔理沙视为主人公组的持续高位基线,单篇博客为事后观察，未控制投票者构成与其他曝光,verified_public_web,雾雨魔理沙,2,3,-1.0,94,108,98.9247,98.1308,3867,5380,844,1145,,,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
