question_index,group,question,token,source_surfaces,cross_eligible,analytical,status,exclusion_reason
15,2,因何原因阻碍了购买,b0bb4dfebe9a60f874ae6fafd20ditQP2laRd20d,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
16,2,您的购买力范围是（原作单个作品的购买价，含运费）,e15a950e3ffe655b753eaf7b4c3cPQxkd41K4c3c,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
17,2,因为什么原因您没有使用代购作为您的购买渠道,f6992640f44bfe5ef70853c8ccb0nQpwxefSccb0,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
18,2,环境中存在什么样的购买原作的阻碍,f03e2e1b79be521d957ea20f2acffuD8nEpa2acf,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
19,2,是否购买过盗版的东方官方作品,980992cceb96317e0291c970c940vyfWpQr0c940,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
20,2,对于正版中文版的官方书籍你能接受什么价位,go5r3ikstjsgg1r345zolyixuMQ4mnPgV1FCF3vg,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
21,2,是否会购买最新的官方设定 东方人妖名鉴,b446969c56dcbb2deeacdd0b6ac3kR8BE7Qb6ac3,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
22,3,对二次同人是否有兴趣,c80c82d38b4a37b6c789f722035dZe9IDQdk035d,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
23,3,在二次同人中您最关注,9959d721fb7461ea46d60efc4096kBgdoj494096,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
24,3,购买过二次同人作品吗（非国内作品）,78b817aec074f7593537c69fa84aRiDyP2VYa84a,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
25,3,购买过什么类型的二次创作（非国内作品）,e60e373a5eb472571b9c9796e153ZODGn2Hme153,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
26,3,购买二次创作的渠道一般是（非国内作品）,7773bffd98e688478a36b31e4b1eD4D2hYZW4b1e,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
27,3,能接受的单个作品购买价（包括运费）上限是（非国内作品）,04ecbcb6380c6806d66ec1bf6f07LEho5YLG6f07,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
28,3,因何原因阻碍了购买（非国内作品）,b6943734bf84a171e46981a12a7aTuhaTY7U2a7a,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
29,3,您的购买力范围是（单个作品的购买价，含运费）（非国内作品）,bb521cafb95b97be25e55c62183fmX2D6pcx183f,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
30,3,因为什么原因您没有使用代购作为您的购买渠道（非国内作品）,4a1f840cfdeb918a995556efeb1duh2V0pOheb1d,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
31,3,环境中存在什么样的购买二次同人作品的阻碍（非国内作品）,dd3bf35f43f934cd745248909349bkZqb8pa9349,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
32,3,购买过国内创作的二次同人作品吗,32205a96cf323ad843283fdfa947zEx2vizia947,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
33,3,购买过什么类型的二次创作（国内作品）,2d4aa96b294283500dccd4054f59rEpElIdq4f59,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
34,3,购买二次创作的渠道一般是（国内作品）,b3c504918090bb56c942c0e4221dYlMZMb4F221d,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
35,3,能接受的单个作品购买价上限是（国内作品）,e3e0e454711dccf7ddb351847336NOhCzsZC7336,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
36,3,因何原因阻碍了购买（国内作品）,db84fd91b513a78b0074601f6eafFs5uJSjK6eaf,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
37,3,您的购买力范围是（单个作品的购买价，含运费）（国内作品）,0843aba7947c1213682910180291wPcFulAj0291,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
38,3,环境中存在什么样的购买二次同人作品的阻碍（国内作品）,8a22cd4cc7c2bc4a24a2f6c9b012KP0RkLKLb012,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
39,3,有想过做东方的同人创作吗,615a0dad1275606ca2259c723372Ctsd4vyT3372,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
40,3,想做或者做过什么类型的创作,317285d0fb8c06b0344ee1dc982fatGpuz8b982f,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
41,3,因何原因阻碍了创作的实行,303d08a619f0d711d7aa532e9c6eHQnAVoZU9c6e,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
42,3,是否还在继续进行着东方的同人创作,c0443beddeec4fbc3c06317a7550638J8Z4x7550,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
43,3,在创作过程中遇到过什么样的困难,6f9696f5c0aa6074348b899f33befM5WpmBW33be,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
44,3,停止创作的直接原因是,971619f064a945078284f9158e4efwH0BoPi8e4e,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
45,3,原作和二次同人您更热衷于,36d16e4c63906453136ac55b9ed9UZcdo5Of9ed9,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
46,3,是否购买实物型周边（手办、抱枕、挂链、钱包、贴纸、挂画等类）,ffc7c35fce41b2c0f0f4f3eb163anCxGRMtc163a,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
47,3,购买周边的时候是否会介意它是否是盗版或存在盗图情况,cf4e10edc70f06fe722f4460af81vMx2pMfMaf81,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
48,3,是否购买过盗版的东方相关画集,49dad0f82db2a3c073293f52be42Rwd2hOt2be42,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
49,4,是否参加过东方专门同人展,c9c6399841dbdd8sd1bc22031b548zgNIDKR2020,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
50,4,2020年内有没有参加过东方专门同人展,2121006448b9c00e150923451394hQPQrYhm2020,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
51,4,没有参加过展会的原因是,3d0687015c93367b72128d3b9e09OTwlSr8B9e09,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
52,4,是否只考虑参加本地或附近地区的同人展,d7f1c7c4d80f3e5df911b98c677bGxoxmRIJ677b,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
53,4,浏览东方Project主题站点的频率如何,14ac7aac82fb018a02c5ef645ce9xULINkji5ce9,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
54,4,平日里接触东方信息的渠道是,dfb89cc6efc90d8129761cbd7c68LUj0DKtq7c68,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
55,4,是否会主动向周围的人介绍东方Project,c5818ad103f5321952e69665f4b6byzONUhaf4b6,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
56,4,选择了什么方式去介绍,3e93bf3bef5fb0f41548c0ebbe05TSNaD4ribe05,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
57,4,介绍的效果如何,c300f96139a9696f852b65d15538AzuvoNIb5538,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
58,5,请问您是否知道「上海爱丽丝幻乐团」的bilibili账户,qppmooteiy0x1qe4e2sdfges176c55MXYnABzVU8,paper_cross,True,True,pending,
59,5,请问您是否使用本活动所属的主网站「THBWiki」,077e93f934d8685a1e64695bdf0bSBkZOTOtdf0b,paper_cross,True,True,pending,
60,5,请问您是否关注bilibili平台的每年春节的东方视频企划「东方华灯宴」,077e93f93asdwdsa1e64695bdf0bSBkZOTOtdf0b,paper_cross,True,True,pending,
61,5,请问您本次是第几次参与中文东方Project人气投票,a30f3118b53c9d8c9009d26f4a8dqB8li3YV4a8d,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
62,4,能否详细描述您平时获取或持续关注东方信息的网站、QQ群、UP主、微博账号或者直播活动等。,99997aac82fb24cds2346f645ce9xULINkji8888,chara_ranking_filter;music_ranking_filter,False,False,intentionally_excluded,open/non-categorical answer offered on a ranking filter surface; answer prose is intentionally not enumerated
